"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"10","13",3.55848794466275,4e-04,0.0134,"Yes","a","b"
"13","9",-2.70909236962889,0.0067,0.1214,"No","b","ab"
"13","8.2",-2.51615287910439,0.0119,0.1424,"No","b","ab"
"11","9",-1.24499099354275,0.2131,0.4263,"No","ab","ab"
"8.1","9",-1.2528885543933,0.2102,0.4452,"No","ab","ab"
"11","8.2",-1.25461386517427,0.2096,0.4716,"No","ab","ab"
"11","13",1.93888938842149,0.0525,0.4726,"No","ab","b"
"10","8.1",1.28391800280202,0.1992,0.478,"No","a","ab"
"8.1","8.2",-1.30204274711521,0.1929,0.496,"No","ab","ab"
"12","13",1.81022407367464,0.0703,0.5059,"No","ab","b"
"12","8.1",1.06947827644314,0.2849,0.5127,"No","ab","ab"
"6","9",-1.31519189844286,0.1884,0.5218,"No","ab","ab"
"7","9",-1.35279490465261,0.1761,0.5284,"No","ab","ab"
"12","6",1.06968042714458,0.2848,0.5396,"No","ab","ab"
"12","7",0.971535930309355,0.3313,0.5679,"No","ab","ab"
"6","8.2",-1.35461459278302,0.1755,0.5745,"No","ab","ab"
"7","8.2",-1.36058260726243,0.1736,0.6251,"No","ab","ab"
"10","11",1.54276018896052,0.1229,0.632,"No","a","ab"
"11","12",-0.86066734438426,0.3894,0.6372,"No","ab","ab"
"10","6",1.38662581549776,0.1656,0.6622,"No","a","ab"
"10","7",1.59263188651678,0.1112,0.6675,"No","a","ab"
"13","7",-1.42521007937574,0.1541,0.6934,"No","b","ab"
"13","6",-0.616024929369226,0.5379,0.8419,"No","b","ab"
"11","8.1",0.560051477685452,0.5754,0.8632,"No","ab","ab"
"11","6",0.519551666279624,0.6034,0.8689,"No","ab","ab"
"13","8.1",-0.395437297647372,0.6925,0.9234,"No","b","ab"
"10","8.2",-0.314745734258963,0.753,0.9347,"No","a","ab"
"11","7",0.264677263953771,0.7913,0.9495,"No","ab","ab"
"12","9",0.05694947974515,0.9546,0.9546,"No","ab","ab"
"6","7",-0.325493388482694,0.7448,0.9576,"No","ab","ab"
"7","8.1",0.396545277677288,0.6917,0.9577,"No","ab","ab"
"10","9",-0.146329194919939,0.8837,0.964,"No","a","ab"
"6","8.1",0.101874326394722,0.9189,0.9729,"No","ab","ab"
"12","8.2",-0.0671156055214024,0.9465,0.9735,"No","ab","ab"
"10","12",-0.154728579824859,0.877,0.9867,"No","a","ab"
"8.2","9",0.162081060800669,0.8712,1,"No","ab","ab"
