"Comparison","Z","P.unadj","P.adj"
"1 - 2",1.54274975898202,0.122891503727666,0.61445751863833
"1 - 3",-0.577244790992872,0.563774103234828,0.805391576049754
"2 - 3",-2.13861577957224,0.0324667984817953,0.324667984817953
"1 - 4",0.564909115557547,0.572135583173576,0.71516947896697
"2 - 4",-0.936086975188116,0.349228408554358,0.698456817108717
"3 - 4",1.13232036137178,0.257499772816771,0.643749432041928
"1 - 5",0.0854747850091345,0.931883940744285,0.931883940744285
"2 - 5",-1.4980046245192,0.134132048951697,0.447106829838989
"3 - 5",0.679834563967678,0.496609218548013,0.827682030913355
"4 - 5",-0.49613485132121,0.61979927184369,0.6886658576041
