"Comparison","Z","P.unadj","P.adj"
"1 - 2",2.20570023708718,0.0274049953137436,0.274049953137436
"1 - 3",0.583134115055503,0.559803019577998,0.699753774472497
"2 - 3",-1.68547918663892,0.0918961571217625,0.459480785608812
"1 - 4",1.04912591284994,0.294120171225709,0.735300428064273
"2 - 4",-1.00497449113863,0.314909133089975,0.62981826617995
"3 - 4",0.528562825149744,0.597108754301035,0.663454171445594
"1 - 5",1.24539958573298,0.212984905510838,0.709949685036128
"2 - 5",-0.966644915094076,0.333721573097381,0.556202621828968
"3 - 5",0.694217324485681,0.487545929574822,0.696494185106889
"4 - 5",0.112438568456999,0.910475675996,0.910475675996
