"Comparison","Z","P.unadj","P.adj"
"1 - 2",0.592564759783111,0.553472469036022,0.691840586295028
"1 - 3",-0.77278377546696,0.439650356939149,0.732750594898581
"2 - 3",-1.46648102198822,0.142517287684264,0.475057625614212
"1 - 4",-0.37214308314452,0.709786320491263,0.788651467212515
"2 - 4",-0.97640273394477,0.328864927220547,0.657729854441095
"3 - 4",0.364014890791455,0.715846889874027,0.715846889874027
"1 - 5",-1.50682201343069,0.131856285421005,0.659281427105026
"2 - 5",-2.27720251377364,0.0227741351020243,0.227741351020243
"3 - 5",-0.763063978475456,0.44542524125579,0.636321773222557
"4 - 5",-1.07389095571369,0.282871557395058,0.707178893487645
