"Comparison","Z","P.unadj","P.adj"
"10 - 11",1.82563183633301,0.0679057369472562,0.611151632525306
"10 - 12",-0.244511612262616,0.806834609580425,0.93696922402888
"11 - 12",-1.14986450381792,0.250199682778636,0.692860660002377
"10 - 13",1.94178710206765,0.0521628789348139,0.625954547217767
"11 - 13",0.176079509816895,0.860231478212098,0.967760412988611
"12 - 13",1.23277427825226,0.217659990397003,0.78357596542921
"10 - 6",-1.02595124845847,0.304914564254111,0.731794954209867
"11 - 6",-2.11330345303168,0.0345748033765723,0.622346460778301
"12 - 6",-0.49537009371128,0.620338901080816,0.97096523647432
"13 - 6",-2.19740414052743,0.0279915958367019,1
"10 - 7",0.33334448627519,0.738874262512782,0.917223222429661
"11 - 7",-1.17239149363233,0.241039913113212,0.788857897461422
"12 - 7",0.417693749096374,0.676171043160813,0.97368630215157
"13 - 7",-1.29494639831286,0.195338720986823,0.781354883947292
"6 - 7",1.16493062330894,0.244047076486887,0.732141229460661
"10 - 8.1",-0.646912049588989,0.517688866832375,0.8874666288555
"11 - 8.1",-1.46430145302664,0.14311160034584,0.736002516064319
"12 - 8.1",-0.333339570258867,0.738877972946243,0.886653567535492
"13 - 8.1",-1.53806068456828,0.124033777703534,0.744202666221206
"6 - 8.1",0.0960092560595231,0.923513221252986,0.949899313288785
"7 - 8.1",-0.787333632574111,0.431086586407532,0.816795637403745
"10 - 8.2",0.356296939693172,0.721618200922062,0.927794829756937
"11 - 8.2",-0.807829606750174,0.419188678916227,0.88769367299907
"12 - 8.2",0.444897180896406,0.656394060012905,0.984591090019357
"13 - 8.2",-0.914366753521353,0.360524165265008,0.811179371846267
"6 - 8.2",1.0918756414523,0.274887765622117,0.706854254456873
"7 - 8.2",0.0925637175520197,0.926250169152407,0.926250169152407
"8.1 - 8.2",0.785060708357708,0.43241797542762,0.778352355769716
"10 - 9",-0.117405002188298,0.906539120315259,0.959864950922039
"11 - 9",-1.44233711995001,0.149207293256878,0.671432819655951
"12 - 9",0.149310023619199,0.881309006229185,0.961428006795474
"13 - 9",-1.54923068103178,0.121326276523515,0.873549190969306
"6 - 9",0.803315219296477,0.421792563501937,0.843585127003873
"7 - 9",-0.364626980760737,0.715389871753098,0.953853162337464
"8.1 - 9",0.528502934510742,0.597150310859772,0.977155054134173
"8.2 - 9",-0.391070763146832,0.695744930822308,0.963339134984734
