"Comparison","Z","P.unadj","P.adj"
"Aiston Preserve - Arroyo Beach",-0.532326315891237,0.594500008897511,0.842026493986459
"Aiston Preserve - Blair Waterway",-1.39897284335296,0.1618211268007,0.529151166451199
"Arroyo Beach - Blair Waterway",-1.00017165139188,0.317227445769073,0.687114138750814
"Aiston Preserve - Blair Waterway #2",0.121649812465475,0.903176361771588,0.973455448182386
"Arroyo Beach - Blair Waterway #2",0.665587008698464,0.505675112433969,0.790867677292501
"Blair Waterway - Blair Waterway #2",1.52062265581844,0.128354558044807,0.47950990495024
"Aiston Preserve - Brackenwood Ln",0.0490523437360786,0.960877581843705,0.989451143179507
"Arroyo Beach - Brackenwood Ln",0.586060466216732,0.557834881956394,0.822441056858199
"Blair Waterway - Brackenwood Ln",1.44802518708904,0.147610006636109,0.509188541410128
"Blair Waterway #2 - Brackenwood Ln",-0.0725974687293963,0.942126441068211,0.985165899080619
"Aiston Preserve - Broad Spit (Fisherman's Point)",-0.331593843655891,0.740195968864521,0.899356415610918
"Arroyo Beach - Broad Spit (Fisherman's Point)",0.169083459690891,0.865730994861104,0.959121992255882
"Blair Waterway - Broad Spit (Fisherman's Point)",1.06737899969707,0.285800727529974,0.658658502609608
"Blair Waterway #2 - Broad Spit (Fisherman's Point)",-0.453243656121366,0.650373299811384,0.86407195415177
"Brackenwood Ln - Broad Spit (Fisherman's Point)",-0.38064618739197,0.703465804157348,0.884160603550022
"Aiston Preserve - Browns Point Lighthouse",-1.16548368716923,0.243823259595323,0.60978391126571
"Arroyo Beach - Browns Point Lighthouse",-0.744397095842523,0.456636275425906,0.763226844013226
"Blair Waterway - Browns Point Lighthouse",0.233489156183734,0.815381588997608,0.935178629249486
"Blair Waterway #2 - Browns Point Lighthouse",-1.2871334996347,0.198047760944265,0.566659960074641
"Brackenwood Ln - Browns Point Lighthouse",-1.21453603090531,0.224543099558946,0.590546165441785
"Broad Spit (Fisherman's Point) - Browns Point Lighthouse",-0.833889843513336,0.404343061032769,0.736433316149366
"Aiston Preserve - Cap Sante",0.590590218582386,0.554795020299877,0.821546792669939
"Arroyo Beach - Cap Sante",1.1792854858102,0.238284515761462,0.607749270133813
"Blair Waterway - Cap Sante",1.98956306193535,0.0466390885685782,0.321357597509515
"Blair Waterway #2 - Cap Sante",0.468940406116911,0.639112233496996,0.860539452978757
"Brackenwood Ln - Cap Sante",0.541537874846307,0.588136899243438,0.837846922392683
"Broad Spit (Fisherman's Point) - Cap Sante",0.922184062238277,0.3564325749388,0.712074249193563
"Browns Point Lighthouse - Cap Sante",1.75607390575161,0.0790757900311519,0.413921916422754
"Aiston Preserve - Chambers Bay Park",1.00851618721378,0.313206720705026,0.68333711843641
"Arroyo Beach - Chambers Bay Park",1.63710044658341,0.101609483304966,0.435630499058274
"Blair Waterway - Chambers Bay Park",2.40748903056674,0.0160626447440568,0.232006435581269
"Blair Waterway #2 - Chambers Bay Park",0.8868663747483,0.375150846974102,0.721711137946617
"Brackenwood Ln - Chambers Bay Park",0.959463843477697,0.337325125887316,0.698707948636228
"Broad Spit (Fisherman's Point) - Chambers Bay Park",1.34011003086967,0.180209575417804,0.553749787489749
"Browns Point Lighthouse - Chambers Bay Park",2.173999874383,0.0297051446347046,0.280537047756423
"Cap Sante - Chambers Bay Park",0.417925968631389,0.676001245193579,0.873626489601846
"Aiston Preserve - Cherry Point Aquatic Reserve, Conoco Phillips",0.478750874864127,0.632115868366817,0.85753137140069
"Arroyo Beach - Cherry Point Aquatic Reserve, Conoco Phillips",1.05677162306807,0.290615828097852,0.664089130027325
"Blair Waterway - Cherry Point Aquatic Reserve, Conoco Phillips",1.87772371821709,0.0604189703139942,0.373436244435008
"Blair Waterway #2 - Cherry Point Aquatic Reserve, Conoco Phillips",0.357101062398652,0.721016149168216,0.889659487849863
"Brackenwood Ln - Cherry Point Aquatic Reserve, Conoco Phillips",0.429698531128048,0.667414952059734,0.868765197837755
"Broad Spit (Fisherman's Point) - Cherry Point Aquatic Reserve, Conoco Phillips",0.810344718520018,0.417742080642927,0.746244285592954
"Browns Point Lighthouse - Cherry Point Aquatic Reserve, Conoco Phillips",1.64423456203335,0.100127760341667,0.433405578017377
"Cap Sante - Cherry Point Aquatic Reserve, Conoco Phillips",-0.111839343718259,0.910950791422408,0.976380193504732
"Chambers Bay Park - Cherry Point Aquatic Reserve, Conoco Phillips",-0.529765312349649,0.596274658174374,0.841451333191737
"Aiston Preserve - Chimacum Creek delta",0.0529765312349649,0.957750606810665,0.988492315244787
"Arroyo Beach - Chimacum Creek delta",0.590359198242771,0.554949859043586,0.821325791384507
"Blair Waterway - Chimacum Creek delta",1.45194937458793,0.146515682308294,0.508008803484856
"Blair Waterway #2 - Chimacum Creek delta",-0.06867328123051,0.945249686469681,0.983482050521806
"Brackenwood Ln - Chimacum Creek delta",0.00392418749888629,0.99686895941689,0.998347445081579
"Broad Spit (Fisherman's Point) - Chimacum Creek delta",0.384570374890856,0.700555746558512,0.882145021657129
"Browns Point Lighthouse - Chimacum Creek delta",1.21846021840419,0.223049133400573,0.590642852269555
"Cap Sante - Chimacum Creek delta",-0.537613687347421,0.590843778766412,0.839047868794994
"Chambers Bay Park - Chimacum Creek delta",-0.95553965597881,0.339304861123692,0.700659350072701
"Cherry Point Aquatic Reserve, Conoco Phillips - Chimacum Creek delta",-0.425774343629162,0.670272283756933,0.869551123164014
"Aiston Preserve - Chuckanut, Clark's Point",-0.651415124815123,0.514778549791531,0.795432987978791
"Arroyo Beach - Chuckanut, Clark's Point",-0.181263200431336,0.856160989319269,0.957949806193597
"Blair Waterway - Chuckanut, Clark's Point",0.747557718537837,0.454726976003167,0.761449201602328
"Blair Waterway #2 - Chuckanut, Clark's Point",-0.773064937280598,0.439483950542585,0.756080350583136
"Brackenwood Ln - Chuckanut, Clark's Point",-0.700467468551202,0.483635414428997,0.778485848851443
"Broad Spit (Fisherman's Point) - Chuckanut, Clark's Point",-0.319821281159232,0.749103814219258,0.903675481110414
"Browns Point Lighthouse - Chuckanut, Clark's Point",0.514068562354103,0.607204056112123,0.839763520511441
"Cap Sante - Chuckanut, Clark's Point",-1.24200534339751,0.2142345905677,0.582140471955088
"Chambers Bay Park - Chuckanut, Clark's Point",-1.6599313120289,0.0969282714683868,0.430597469138344
"Cherry Point Aquatic Reserve, Conoco Phillips - Chuckanut, Clark's Point",-1.13016599967925,0.258406283572285,0.624289241438947
"Chimacum Creek delta - Chuckanut, Clark's Point",-0.704391656050088,0.481188900805096,0.777327285331678
"Aiston Preserve - Comm Bay Skookum",-0.125573999964361,0.900069145030314,0.97282383382428
"Arroyo Beach - Comm Bay Skookum",0.39476689105797,0.693014931598607,0.8812774624519
"Blair Waterway - Comm Bay Skookum",1.2733988433886,0.202876547605036,0.569023421683493
"Blair Waterway #2 - Comm Bay Skookum",-0.247223812429836,0.804735017520413,0.929678906040477
"Brackenwood Ln - Comm Bay Skookum",-0.17462634370044,0.861373247358399,0.957435860541167
"Broad Spit (Fisherman's Point) - Comm Bay Skookum",0.20601984369153,0.836775410766905,0.946849763083959
"Browns Point Lighthouse - Comm Bay Skookum",1.03990968720487,0.298381861416063,0.67049035581097
"Cap Sante - Comm Bay Skookum",-0.716164218546747,0.473889954297848,0.773399858947727
"Chambers Bay Park - Comm Bay Skookum",-1.13409018717814,0.256756719356638,0.621415680091649
"Cherry Point Aquatic Reserve, Conoco Phillips - Comm Bay Skookum",-0.604324874828488,0.545627671529038,0.816476643102456
"Chimacum Creek delta - Comm Bay Skookum",-0.178550531199326,0.858290640533423,0.958347672625372
"Chuckanut, Clark's Point - Comm Bay Skookum",0.525841124850762,0.598998598248523,0.840028667637207
"Aiston Preserve - Comm Bay, Dick Gilmur Launch",0.0667111874810669,0.946811627832615,0.984348809382561
"Arroyo Beach - Comm Bay, Dick Gilmur Launch",0.60540476033391,0.544910088835171,0.816307348831835
"Blair Waterway - Comm Bay, Dick Gilmur Launch",1.46568403083403,0.1427343866408,0.502640910452152
"Blair Waterway #2 - Comm Bay, Dick Gilmur Launch",-0.054938624984408,0.956187360042802,0.987633674751667
"Brackenwood Ln - Comm Bay, Dick Gilmur Launch",0.0176588437449883,0.985911013457344,0.996611394965676
