"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"10","11",-4.25021261906943,0,8e-04,"Yes","ab","c"
"11","12",4.09230096063543,0,8e-04,"Yes","c","a"
"12","13",-3.29212785677135,0.001,0.006,"Yes","a","cd"
"11","8.1",3.32938216296469,9e-04,0.0063,"Yes","c","ab"
"11","6",3.36120417621934,8e-04,0.007,"Yes","c","abd"
"11","7",3.43860880324071,6e-04,0.007,"Yes","c","abd"
"12","8.2",-2.9517714627944,0.0032,0.0162,"Yes","a","bcd"
"10","13",-2.60550904281019,0.0092,0.033,"Yes","ab","cd"
"13","8.1",2.61184292736661,0.009,0.036,"Yes","cd","ab"
"11","9",2.62927277719214,0.0086,0.0385,"Yes","c","abd"
"13","6",2.39229063743958,0.0167,0.0502,"No","cd","abd"
"8.1","8.2",-2.40323827596332,0.0163,0.0532,"No","ab","bcd"
"6","8.2",-2.07265140503226,0.0382,0.0917,"No","abd","bcd"
"12","9",-2.09633646851471,0.0361,0.0927,"No","a","abd"
"13","7",2.11848432457731,0.0341,0.0945,"No","cd","abd"
"10","12",2.00099614404416,0.0454,0.1021,"No","ab","a"
"12","7",-1.91179119693539,0.0559,0.1184,"No","a","abd"
"10","8.2",-1.87768056528364,0.0604,0.1208,"No","ab","bcd"
"7","8.2",-1.6801078577977,0.0929,0.1761,"No","abd","bcd"
"8.1","9",-1.57564979615278,0.1151,0.2072,"No","ab","abd"
"13","9",1.47543070165945,0.1401,0.2402,"No","cd","abd"
"10","8.1",1.42567866603421,0.154,0.241,"No","ab","ab"
"11","13",1.42820346867237,0.1532,0.2507,"No","c","cd"
"7","8.1",1.38075227430214,0.1674,0.251,"No","abd","ab"
"8.2","9",1.25280855405481,0.2103,0.3028,"No","bcd","abd"
"12","6",-1.12139218765087,0.2621,0.3629,"No","a","abd"
"6","9",-1.0323011620057,0.3019,0.4026,"No","abd","abd"
"11","8.2",0.852103056955465,0.3942,0.5068,"No","c","bcd"
"10","6",0.802761844565502,0.4221,0.524,"No","ab","abd"
"6","7",-0.766453313490312,0.4434,0.5321,"No","abd","abd"
"6","8.1",0.713681565750818,0.4754,0.5521,"No","abd","ab"
"10","9",-0.473717757980017,0.6357,0.7152,"No","ab","abd"
"7","9",-0.38559643755602,0.6998,0.7634,"No","abd","abd"
"12","8.1",-0.301500953808164,0.763,0.8079,"No","a","ab"
"13","8.2",-0.125470930362414,0.9002,0.9259,"No","cd","bcd"
"10","7",-0.0438572936308772,0.965,0.965,"No","ab","abd"
