"Grouping_Variable","Metric","Analyte","Spearman_Rho","P_Value"
"geo_group","p450","a1",0.2,0.783333333333333
"geo_group","p450","a2",0.5,0.45
"geo_group","p450","a3",0.3,0.683333333333333
"geo_group","p450","a4",0.1,0.95
"geo_group","p450","a5",0.2,0.783333333333333
"geo_group","p450","a6",0.3,0.683333333333333
"geo_group","p450","a7",0.3,0.683333333333333
"geo_group","p450","a8",0.3,0.683333333333333
"geo_group","p450","a9",0.3,0.683333333333333
"geo_group","p450","a10",0.3,0.683333333333333
"geo_group","p450","a11",0.2,0.783333333333333
"geo_group","p450","a12",0.3,0.683333333333333
"geo_group","p450","a13",0.3,0.683333333333333
"geo_group","p450","a14",0.3,0.683333333333333
"geo_group","p450","a15",0.2,0.783333333333333
"geo_group","p450","a16",0.7,0.233333333333333
"geo_group","p450","a17",0.3,0.683333333333333
"geo_group","p450","a18",0.3,0.683333333333333
"geo_group","p450","a19",0.3,0.683333333333333
"geo_group","p450","a20",0.3,0.683333333333333
"geo_group","p450","a21",0.7,0.233333333333333
"geo_group","p450","a22",0.2,0.783333333333333
"geo_group","p450","a23",0.3,0.683333333333333
"geo_group","p450","a24",0.7,0.233333333333333
"geo_group","p450","a25",0.7,0.233333333333333
"geo_group","p450","a26",0.9,0.0833333333333333
"geo_group","p450","a27",0.7,0.233333333333333
"geo_group","p450","a28",0.7,0.233333333333333
"geo_group","p450","a29",0.9,0.0833333333333333
"geo_group","p450","a30",0.7,0.233333333333333
"geo_group","p450","a31",0.3,0.683333333333333
"geo_group","p450","a32",0.5,0.45
"geo_group","p450","a33",-0.2,0.783333333333333
"geo_group","p450","a34",0.3,0.683333333333333
"geo_group","p450","a35",0.3,0.683333333333333
"geo_group","p450","a36",0.8,0.133333333333333
"geo_group","p450","a37",0.6,0.35
"geo_group","p450","a38",0.7,0.233333333333333
"geo_group","p450","a39",0.8,0.133333333333333
"geo_group","p450","a40",0.6,0.35
"geo_group","p450","a41",0.3,0.683333333333333
"geo_group","p450","a42",0.3,0.683333333333333
"geo_group","p450","a43",0.3,0.683333333333333
"geo_group","p450","a44",0.3,0.683333333333333
"geo_group","p450","a45",0.3,0.683333333333333
"geo_group","p450","a46",0.3,0.683333333333333
"geo_group","p450","a47",0.3,0.683333333333333
"geo_group","p450","a48",0.3,0.683333333333333
"geo_group","p450","a49",0.3,0.683333333333333
"geo_group","p450","a50",0.9,0.0833333333333333
"geo_group","p450","a51",1,0.0166666666666667
"geo_group","p450","a52",0.2,0.783333333333333
"geo_group","p450","a53",0.3,0.683333333333333
"geo_group","p450","a54",0.5,0.45
