"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"2","5",-3.79188188754016,1e-04,0.0054,"Yes","a","b"
"2","3",-3.26431930373666,0.0011,0.0198,"Yes","a","b"
"4","5",-2.65240958523101,0.008,0.0719,"No","ab","b"
"2","7",-2.67289629395864,0.0075,0.0902,"No","a","ab"
"3","4",2.31040295731768,0.0209,0.1252,"No","b","ab"
"1","2",2.3458724661044,0.019,0.1367,"No","ab","a"
"4","7",-2.21331339653412,0.0269,0.1382,"No","ab","ab"
"2","9",-2.14435982235451,0.032,0.144,"No","a","ab"
"1","5",-2.08623229335031,0.037,0.1478,"No","ab","b"
"5","8",2.03929660578113,0.0414,0.1491,"No","b","ab"
"7","8",1.64550823594486,0.0999,0.2397,"No","ab","ab"
"1","4",1.65044891454806,0.0989,0.2542,"No","ab","ab"
"3","8",1.66903828704479,0.0951,0.2634,"No","b","ab"
"4","9",-1.6959949255764,0.0899,0.2697,"No","ab","ab"
"2","6",-1.72570313342957,0.0844,0.2762,"No","a","ab"
"4","6",-1.49180179701957,0.1358,0.3054,"No","ab","ab"
"1","3",-1.42299541945487,0.1547,0.3277,"No","ab","b"
"5","9",1.30067950566711,0.1934,0.3867,"No","b","ab"
"1","7",-1.2629373608103,0.2066,0.3915,"No","ab","ab"
"5","6",1.207125642581,0.2274,0.4093,"No","b","ab"
"8","9",-1.04069047518717,0.298,0.5109,"No","ab","ab"
"6","8",0.87085433003348,0.3838,0.5527,"No","ab","ab"
"7","9",0.881628474387892,0.378,0.567,"No","ab","ab"
"1","8",0.931302061567496,0.3517,0.5755,"No","ab","ab"
"3","6",0.771163234965479,0.4406,0.5875,"No","b","ab"
"6","7",-0.884306010577787,0.3765,0.5894,"No","ab","ab"
"3","9",0.784001003521927,0.433,0.5996,"No","b","ab"
"3","5",-0.602057913491765,0.5471,0.6792,"No","b","b"
"4","8",-0.616165526994785,0.5378,0.6914,"No","ab","ab"
"2","8",-0.515856499777415,0.606,0.7271,"No","a","ab"
"3","7",-0.319843643728217,0.7491,0.8427,"No","b","ab"
"1","9",-0.329848148511122,0.7415,0.8611,"No","ab","ab"
"2","4",0.259410343020615,0.7953,0.8676,"No","a","ab"
"5","7",0.103200132096254,0.9178,0.9178,"No","b","ab"
"1","6",-0.149352378517636,0.8813,0.9331,"No","ab","ab"
"6","9",-0.103692806849338,0.9174,0.9436,"No","ab","ab"
