"variable","cluster","n"
"chlordane","High-High",10
"chlordane","Not Significant",60
"chlordane","Outlier",4
"ci1","Low-Low",1
"ci1","Not Significant",73
"ci2","Not Significant",74
"ci3","Low-Low",1
"ci3","Not Significant",72
"ci3","Outlier",1
"ddt","High-High",13
"ddt","Not Significant",61
"hch","High-High",4
"hch","Not Significant",68
"hch","Outlier",2
"heavy_metal_ng","High-High",5
"heavy_metal_ng","Not Significant",68
"heavy_metal_ng","Outlier",1
"height","Not Significant",73
"height","Outlier",1
"ibr_bio","High-High",4
"ibr_bio","Low-Low",1
"ibr_bio","Not Significant",69
"ibr_combined","Not Significant",73
"ibr_combined","Outlier",1
"ibr_morph","Not Significant",72
"ibr_morph","Outlier",2
"length","High-High",1
"length","Low-Low",1
"length","Not Significant",70
"length","Outlier",2
"mixture_index_pca","High-High",6
"mixture_index_pca","Not Significant",65
"mixture_index_pca","Outlier",3
"mixture_index_sum","High-High",6
"mixture_index_sum","Low-Low",1
"mixture_index_sum","Not Significant",67
"nutrient_metal_ng","High-High",1
"nutrient_metal_ng","Not Significant",65
"nutrient_metal_ng","Outlier",8
"p450","High-High",5
"p450","Low-Low",1
"p450","Not Significant",67
"p450","Outlier",1
"pah_add","High-High",3
"pah_add","Not Significant",67
"pah_add","Outlier",4
"pah_hmw","High-High",6
"pah_hmw","Not Significant",65
"pah_hmw","Outlier",3
"pah_lmw","High-High",6
"pah_lmw","Not Significant",65
"pah_lmw","Outlier",3
"pbde","High-High",11
"pbde","Not Significant",62
"pbde","Outlier",1
"pcb","High-High",6
"pcb","Not Significant",67
"pcb","Outlier",1
"pesticide","High-High",6
"pesticide","Not Significant",68
"shell","Not Significant",72
"shell","Outlier",2
"sod","Not Significant",73
"sod","Outlier",1
"weight_change","Not Significant",71
"weight_change","Outlier",3
"weight_final","High-High",4
"weight_final","Low-Low",1
"weight_final","Not Significant",68
"weight_final","Outlier",1
"weight_initial","Not Significant",70
"weight_initial","Outlier",4
"width","Low-Low",1
"width","Not Significant",73
