"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"1","6",3.22357440436767,0.0013,0.0095,"Yes","a","b"
"2","6",3.33787286719143,8e-04,0.0127,"Yes","a","b"
"5","6",2.58052522346702,0.0099,0.0493,"Yes","a","b"
"4","6",2.47098335638198,0.0135,0.0505,"No","ab","b"
"2","3",2.06336264110587,0.0391,0.1172,"No","a","ab"
"1","3",1.86914254158706,0.0616,0.154,"No","a","ab"
"2","5",1.19393031825056,0.2325,0.3875,"No","a","a"
"3","5",-1.2335183526803,0.2174,0.4076,"No","ab","a"
"3","4",-1.29599998457073,0.195,0.4178,"No","ab","ab"
"3","6",1.00669551807317,0.3141,0.4711,"No","ab","b"
"1","5",0.894177475317203,0.3712,0.5062,"No","a","a"
"2","4",0.796484310695556,0.4258,0.5322,"No","a","ab"
"1","4",0.502495556886111,0.6153,0.71,"No","a","ab"
"1","2",-0.370659745628282,0.7109,0.7617,"No","a","a"
"4","5",0.248348343914243,0.8039,0.8039,"No","ab","a"
