"","Aiston Preserve","Arroyo Beach","Blair Waterway","Blair Waterway #2","Brackenwood Ln","Broad Spit (Fisherman's Point)","Browns Point Lighthouse","Cap Sante","Chambers Bay Park","Cherry Point Aquatic Reserve, Conoco Phillips","Chimacum Creek delta","Chuckanut, Clark's Point","Comm Bay Skookum","Comm Bay, Dick Gilmur Launch","Comm Bay, Milwaukee Waterway","Des Moines Marina","Discovery Bay","Donkey Creek Delta","Eagle Harbor Dr","Eastsound, Fishing Bay","Edmonds Ferry","Edmonds Marina","Eld Inlet","Elliot Bay Myrtle Edwards","Elliott Bay, Harbor Island, Pier 17","Everett Harbor","Fidalgo Bay Aq Reserve, Weaverling Spit","Filucy Bay","Friday Harbor","Gig Harbor Boat Launch","Hood Canal Holly","Jamestown","Kingston Marina","Kitsap St Boat Launch","Kopachuck State Park","Lions Park","Locust Beach","Madrona Pont","Manchester, Stormwater Outfall","Maple Hollow Park","Maristone Island","Meyer's Point - Henderson Inlet","Miller Creek","Minter Bay","Mukilteo","N Avenue Park","North Camano","Oak Bay County Park","Penn Cove Reference","Pennrose Point State Park","Point Defiance Ferry","Port Angeles Yacht Club","Purdy - Dexters","Purdy, Burley Lagoon","Raft Island Park","Reach Island","Rich Passage","Rocky Point","S of Skunk Island","Salmon Bay, Commodore Park","Salmon Beach","Seattle Aquarium, Pier 59","Shilshole Bay","Silverdale, Dyes Inlet","Skiff Point","Smith Cove, Terminal 91","Squaxin Island","Suquamish Stormwater Outfall","Thea Foss Waterway","Three Tree Point","Tulalip Bay","Tulalip Reservation","West Bay Park"
"Arroyo Beach",0.996278799249531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blair Waterway",0.955038024304194,0.888078689919183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blair Waterway #2",0.952793700787402,0.932932872253865,0.992059022556391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brackenwood Ln",0.389764556962025,0.329390243902439,0.299161392405063,0.299161392405063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Broad Spit (Fisherman's Point)",0.524262422360248,0.430751253761284,0.389764556962025,0.472615923009624,0.936478102189781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Browns Point Lighthouse",0.550028691392582,0.430751253761284,0.409806896551724,0.449735885167464,0.362121451104101,0.324538759689922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cap Sante",0.992059022556391,0.978339312977099,0.992059022556391,0.996012767555389,0.594494910941476,0.790663456909003,0.649607594936709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chambers Bay Park",0.785935984481086,0.644592549476135,0.850314814814815,0.755953101361573,0.323695481335953,0.365454121306376,0.960145687645688,0.68526194398682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cherry Point Aquatic Reserve, Conoco Phillips",0.900333333333333,0.712664907651715,0.463167870036101,0.803069789674952,0.299161392405063,0.425612121212121,0.449735885167464,0.954353333333333,0.451449192782526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chimacum Creek delta",0.603632575757576,0.503083609271523,0.299161392405063,0.472615923009624,0.385857142857143,0.89194750211685,0.389764556962025,0.860996433348194,0.299161392405063,0.343675627240143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
