"Comparison","Z","P.unadj","P.adj"
"1 - 2",-1.91230838898917,0.0558366504568958,0.279183252284479
"1 - 3",-1.35798634162211,0.174468018148491,0.436170045371228
"2 - 3",0.417400707768041,0.676385337278216,0.84548167159777
"1 - 4",-1.89664986019015,0.0578741653120912,0.192913884373637
"2 - 4",0.00326503399350249,0.997394884414705,0.997394884414705
"3 - 4",-0.411928842939652,0.680391579314876,0.755990643683196
"1 - 5",-2.23864547992507,0.0251789925475244,0.251789925475244
"2 - 5",-0.456752279736768,0.647849109119185,0.925498727313121
"3 - 5",-0.817019363545206,0.413917362366857,0.827834724733715
"4 - 5",-0.456980916769046,0.647684761989462,1
