"Comparison","Z","P.unadj","P.adj"
"1 - 2",-0.452011154983483,0.651260946368103,1
"1 - 3",-0.3701264184675,0.711288298626874,1
"2 - 3",0.0727910295041534,0.941972409439362,0.941972409439362
"1 - 4",-0.53776445636433,0.59073967346984,1
"2 - 4",-0.1400124850352,0.888650125927028,0.987389028807809
"3 - 4",-0.200589294602854,0.841019729608642,1
"1 - 5",-1.84797167969702,0.0646064398620509,0.646064398620509
"2 - 5",-1.53597513237582,0.124544479478123,0.415148264927076
"3 - 5",-1.54894521070801,0.121394891443187,0.606974457215936
"4 - 5",-1.2313530967943,0.218190831132551,0.545477077831378
