"Comparison","Z","P.unadj","P.adj"
"1 - 2",-0.11070042119867,0.911853911965944,1
"1 - 3",0.224897960393776,0.822058656025747,1
"2 - 3",0.291446685261274,0.770709713736095,1
"1 - 4",0.0980669913248856,0.921879098257645,0.921879098257645
"2 - 4",0.17420315516388,0.861705805990057,1
"3 - 4",-0.113682153676709,0.90948976009866,1
"1 - 5",-4.15008247804137,3.32355494204112e-05,0.000332355494204112
"2 - 5",-4.09152009814433,4.28554796860634e-05,0.000214277398430317
"3 - 5",-3.99503088131477,6.46858208945024e-05,0.000161714552236256
"4 - 5",-4.0047690232273,6.20781075908389e-05,0.000206927025302796
