"Comparison","Z","P.unadj","P.adj"
"10 - 11",-1.94900077857037,0.0512953317424119,0.123108796181788
"10 - 12",2.58019280750813,0.00987451662252541,0.0444353248013643
"11 - 12",3.39256749750627,0.000692408704720409,0.00623167834248368
"10 - 13",-3.48109085943555,0.000499376061428068,0.00599251273713681
"11 - 13",-1.46493744568838,0.142937985272566,0.270829866832231
"12 - 13",-4.06971145169192,4.70714005297654e-05,0.00169457041907155
"10 - 6",-0.44192325007885,0.658544745509706,0.911831186090362
"11 - 6",0.770017191984189,0.441289694648123,0.661934541972185
"12 - 6",-2.51565572012462,0.0118811178591567,0.0475244714366268
"13 - 6",1.73619417827979,0.0825295063068834,0.17476836629693
"10 - 7",-0.101305231588719,0.919308163354824,0.973385114140402
"11 - 7",1.50065889565076,0.133443809705144,0.266887619410288
"12 - 7",-2.51534730752386,0.0118915175204202,0.0428094630735127
"13 - 7",2.77132643536035,0.00558284267457771,0.0401964672569595
"6 - 7",0.336028998038132,0.736848999356776,0.855695612156257
"10 - 8.1",-0.410541975440298,0.681408418427217,0.908544557902956
"11 - 8.1",0.494120345208755,0.621221190193268,0.894558513878306
"12 - 8.1",-2.26275648040882,0.0236507049986348,0.0709521149959045
"13 - 8.1",1.22114503681354,0.22203111024615,0.363323634948245
"6 - 8.1",-0.0717864105541241,0.942771887723736,0.942771887723736
"7 - 8.1",-0.337834212301715,0.735488126413312,0.882585751695975
"10 - 8.2",-2.7705800415674,0.00559565453338092,0.0335739272002855
"11 - 8.2",-1.43247988566012,0.152006530572965,0.273611755031337
"12 - 8.2",-3.91513739921102,9.03527392027107e-05,0.00162634930564879
"13 - 8.2",-0.407957878937404,0.683304598919807,0.878534484325466
"6 - 8.2",-1.75771629781404,0.0787957933597255,0.177290535059382
"7 - 8.2",-2.44185092644571,0.0146121790456586,0.0478216768767009
"8.1 - 8.2",-1.34814875807273,0.177610541859926,0.304475214617017
"10 - 9",-0.392586338938792,0.694625031055823,0.862293142000332
"11 - 9",1.01800615957016,0.30867502886461,0.483143523440259
"12 - 9",-2.58487429925511,0.00974145050420566,0.0500988883073434
"13 - 9",2.13700853290509,0.0325972976004768,0.0902694395090128
"6 - 9",0.0918319681151013,0.926831544485331,0.95331244575634
"7 - 9",-0.270661273704998,0.786651564447598,0.884983010003548
"8.1 - 9",0.148740531864714,0.881758377159318,0.961918229628346
"8.2 - 9",2.03196414128965,0.0421572862622178,0.10840445038856
