"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc4","4","ci1","a96",0.670744176651015,0.0337581369926527
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc4","4","ci3","a98",0.648484848484848,0.0425401276844894
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc4","1","p450","a120",0.5625,0.00098857767023186
"hc4","1","p450","a121",0.403629032258065,0.0243393339118869
"hc4","1","p450","a125",-0.361693548387097,0.0455718788351671
"hc4","1","p450","a130",0.47741935483871,0.00660900639431383
"hc4","1","p450","a81",0.481451612903226,0.00610351490871963
"hc4","1","p450","a90",0.4125,0.0211059323159637
"hc4","1","p450","a93",0.403629032258065,0.0243393339118869
NA,NA,NA,NA,NA,NA
"hc4","1","sod","a100",0.405241935483871,0.0237229897127698
"hc4","1","sod","a105",0.404435483870968,0.0240295395570762
"hc4","1","sod","a106",0.392741935483871,0.0288520062459885
"hc4","1","sod","a110",0.390725806451613,0.0297581460440481
"hc4","1","sod","a115",-0.456451612903226,0.00984986627547735
"hc4","1","sod","a120",-0.39758064516129,0.026768769868337
"hc4","1","sod","a127",0.365725806451613,0.0430422157383916
"hc4","1","sod","a130",-0.368145161290323,0.0415791937487799
"hc4","1","sod","a81",-0.378225806451613,0.0359066066512308
"hc4","1","sod","a90",-0.387096774193548,0.0314475218691512
"hc4","1","sod","a94",0.4125,0.0211059323159637
NA,NA,NA,NA,NA,NA
"hc4","1","ci1","a106",-0.359047318291205,0.0472954982541212
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc4","1","shell","a123",0.37229002409324,0.0391655909475754
"hc4","1","shell","a89",0.377130197754257,0.0364910633633206
NA,NA,NA,NA,NA,NA
"hc4","2","p450","a102",-0.465384615384615,0.0190615928407545
"hc4","2","p450","a104",-0.432307692307692,0.0309104974059229
"hc4","2","p450","a108",-0.464615384615385,0.019287095935427
"hc4","2","p450","a125",-0.403076923076923,0.0457295750034494
NA,NA,NA,NA,NA,NA
"hc4","2","sod","a100",0.425384615384615,0.0340130010967161
"hc4","2","sod","a102",0.507692307692308,0.00957690315151472
"hc4","2","sod","a104",0.462307692307692,0.0199766787123492
"hc4","2","sod","a106",0.542307692307692,0.0051011222636046
"hc4","2","sod","a108",0.483846153846154,0.0142615230868413
"hc4","2","sod","a111",0.396923076923077,0.049463872171231
"hc4","2","sod","a116",0.465384615384615,0.0190615928407545
"hc4","2","sod","a118",0.403076923076923,0.0457295750034494
"hc4","2","sod","a123",0.436923076923077,0.0289711242169073
"hc4","2","sod","a124",0.407692307692308,0.0430771182607268
"hc4","2","sod","a80",0.564615384615385,0.00327838824416071
"hc4","2","sod","a90",0.43,0.0319184105924664
"hc4","2","sod","a92",0.497692307692308,0.0113554309557014
"hc4","2","sod","a96",0.466923076923077,0.0186170323333126
"hc4","2","sod","a98",0.463846153846154,0.019514767792475
NA,NA,NA,NA,NA,NA
"hc4","2","ci1","a100",0.523618378665386,0.00722514701881627
"hc4","2","ci1","a104",0.461154330547719,0.0203287695287049
"hc4","2","ci1","a105",0.513207703979108,0.00869942488745923
"hc4","2","ci1","a106",0.458840847284101,0.0210502325934034
"hc4","2","ci1","a110",0.468480360882507,0.018175682591921
"hc4","2","ci1","a111",0.506652834732193,0.00975024706862682
"hc4","2","ci1","a116",0.396376799166434,0.049806558261285
"hc4","2","ci1","a118",0.405630732220903,0.0442465011645361
"hc4","2","ci1","a123",0.428765564857076,0.0324682506537335
"hc4","2","ci1","a124",0.409486537660265,0.0420793286901147
"hc4","2","ci1","a127",0.463467813811336,0.0196275466846787
"hc4","2","ci1","a129",0.522847217577514,0.00732665373095687
"hc4","2","ci1","a89",0.444188786614525,0.0261170629319387
"hc4","2","ci1","a94",0.50896631799581,0.00936794822680342
"hc4","2","ci1","a98",0.436091595191864,0.0293131020161603
"hc4","2","ci1","a99",0.45691294456442,0.0216672171440817
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc4","3","p450","a110",0.761904761904762,0.0280049391530719
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc4","3","ci2","a99",0.976190476190476,3.31439602621053e-05
NA,NA,NA,NA,NA,NA
"hc4","3","ci3","a102",0.80952380952381,0.0149026676862301
"hc4","3","ci3","a104",0.80952380952381,0.0149026676862301
"hc4","3","ci3","a106",0.714285714285714,0.0465282322841674
"hc4","3","ci3","a108",0.80952380952381,0.0149026676862301
"hc4","3","ci3","a111",0.833333333333333,0.0101755401234569
"hc4","3","ci3","a115",0.80952380952381,0.0149026676862301
"hc4","3","ci3","a116",0.833333333333333,0.0101755401234569
"hc4","3","ci3","a118",0.80952380952381,0.0149026676862301
"hc4","3","ci3","a122",0.80952380952381,0.0149026676862301
"hc4","3","ci3","a123",0.80952380952381,0.0149026676862301
"hc4","3","ci3","a124",0.80952380952381,0.0149026676862301
"hc4","3","ci3","a127",0.857142857142857,0.00653001725471536
"hc4","3","ci3","a130",0.785714285714286,0.0208151272535253
"hc4","3","ci3","a80",0.80952380952381,0.0149026676862301
"hc4","3","ci3","a81",0.785714285714286,0.0208151272535253
"hc4","3","ci3","a82",0.80952380952381,0.0149026676862301
"hc4","3","ci3","a89",0.80952380952381,0.0149026676862301
"hc4","3","ci3","a90",0.80952380952381,0.0149026676862301
"hc4","3","ci3","a92",0.80952380952381,0.0149026676862301
"hc4","3","ci3","a94",0.833333333333333,0.0101755401234569
"hc4","3","ci3","a96",0.80952380952381,0.0149026676862301
"hc4","3","ci3","a98",0.80952380952381,0.0149026676862301
NA,NA,NA,NA,NA,NA
"hc4","3","shell","a106",0.80952380952381,0.0149026676862301
"hc4","3","shell","a125",-0.857142857142857,0.00653001725471536
