"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"km5","4","ci1","a96",0.670744176651015,0.0337581369926527
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"km5","4","ci3","a98",0.648484848484848,0.0425401276844894
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"km5","2","ci1","a121",0.528439599738987,0.0241653387694885
"km5","2","ci1","a93",0.528439599738987,0.0241653387694885
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"km5","1","p450","a102",-0.465384615384615,0.0190615928407545
"km5","1","p450","a104",-0.432307692307692,0.0309104974059229
"km5","1","p450","a108",-0.464615384615385,0.019287095935427
"km5","1","p450","a125",-0.403076923076923,0.0457295750034494
NA,NA,NA,NA,NA,NA
"km5","1","sod","a100",0.425384615384615,0.0340130010967161
"km5","1","sod","a102",0.507692307692308,0.00957690315151472
"km5","1","sod","a104",0.462307692307692,0.0199766787123492
"km5","1","sod","a106",0.542307692307692,0.0051011222636046
"km5","1","sod","a108",0.483846153846154,0.0142615230868413
"km5","1","sod","a111",0.396923076923077,0.049463872171231
"km5","1","sod","a116",0.465384615384615,0.0190615928407545
"km5","1","sod","a118",0.403076923076923,0.0457295750034494
"km5","1","sod","a123",0.436923076923077,0.0289711242169073
"km5","1","sod","a124",0.407692307692308,0.0430771182607268
"km5","1","sod","a80",0.564615384615385,0.00327838824416071
"km5","1","sod","a90",0.43,0.0319184105924664
"km5","1","sod","a92",0.497692307692308,0.0113554309557014
"km5","1","sod","a96",0.466923076923077,0.0186170323333126
"km5","1","sod","a98",0.463846153846154,0.019514767792475
NA,NA,NA,NA,NA,NA
"km5","1","ci1","a100",0.523618378665386,0.00722514701881627
"km5","1","ci1","a104",0.461154330547719,0.0203287695287049
"km5","1","ci1","a105",0.513207703979108,0.00869942488745923
"km5","1","ci1","a106",0.458840847284101,0.0210502325934034
"km5","1","ci1","a110",0.468480360882507,0.018175682591921
"km5","1","ci1","a111",0.506652834732193,0.00975024706862682
"km5","1","ci1","a116",0.396376799166434,0.049806558261285
"km5","1","ci1","a118",0.405630732220903,0.0442465011645361
"km5","1","ci1","a123",0.428765564857076,0.0324682506537335
"km5","1","ci1","a124",0.409486537660265,0.0420793286901147
"km5","1","ci1","a127",0.463467813811336,0.0196275466846787
"km5","1","ci1","a129",0.522847217577514,0.00732665373095687
"km5","1","ci1","a89",0.444188786614525,0.0261170629319387
"km5","1","ci1","a94",0.50896631799581,0.00936794822680342
"km5","1","ci1","a98",0.436091595191864,0.0293131020161603
"km5","1","ci1","a99",0.45691294456442,0.0216672171440817
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"km5","5","p450","a100",0.716666666666667,0.0298180356958453
"km5","5","p450","a110",0.833333333333333,0.00526569102916175
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"km5","5","ci2","a120",-0.683333333333333,0.0424422720870723
"km5","5","ci2","a121",-0.683333333333333,0.0424422720870723
"km5","5","ci2","a93",-0.683333333333333,0.0424422720870723
"km5","5","ci2","a99",0.8,0.00962792472537988
NA,NA,NA,NA,NA,NA
"km5","5","ci3","a102",0.769881216055265,0.0152401848567729
"km5","5","ci3","a104",0.769881216055265,0.0152401848567729
"km5","5","ci3","a106",0.761512941967708,0.0171171255258007
"km5","5","ci3","a108",0.769881216055265,0.0152401848567729
"km5","5","ci3","a111",0.728039845617479,0.0261536207531623
"km5","5","ci3","a115",0.769881216055265,0.0152401848567729
"km5","5","ci3","a116",0.78661776423038,0.0119092119511364
"km5","5","ci3","a118",0.769881216055265,0.0152401848567729
"km5","5","ci3","a122",0.769881216055265,0.0152401848567729
"km5","5","ci3","a123",0.769881216055265,0.0152401848567729
"km5","5","ci3","a124",0.769881216055265,0.0152401848567729
"km5","5","ci3","a127",0.84519568284328,0.0041165974193027
"km5","5","ci3","a130",0.753144667880151,0.0191419585954058
"km5","5","ci3","a80",0.769881216055265,0.0152401848567729
"km5","5","ci3","a81",0.753144667880151,0.0191419585954058
"km5","5","ci3","a82",0.769881216055265,0.0152401848567729
"km5","5","ci3","a89",0.711303297442365,0.0316565570333023
"km5","5","ci3","a90",0.769881216055265,0.0152401848567729
"km5","5","ci3","a92",0.769881216055265,0.0152401848567729
"km5","5","ci3","a94",0.828459134668166,0.00579537319943979
"km5","5","ci3","a96",0.769881216055265,0.0152401848567729
"km5","5","ci3","a98",0.769881216055265,0.0152401848567729
NA,NA,NA,NA,NA,NA
"km5","5","shell","a100",0.716666666666667,0.0298180356958453
"km5","5","shell","a106",0.8,0.00962792472537988
"km5","5","shell","a125",-0.816666666666667,0.00722478524635894
"km5","5","shell","a127",0.683333333333333,0.0424422720870723
"km5","5","shell","a94",0.666666666666667,0.0498672305688852
NA,NA,NA,NA,NA,NA
"km5","3","p450","a89",0.643356643356643,0.0240031912007137
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"km5","3","ci1","a100",-0.601398601398601,0.0385884529220193
"km5","3","ci1","a105",-0.72027972027972,0.00823976871233834
"km5","3","ci1","a106",-0.615384615384615,0.0331699010901059
"km5","3","ci1","a110",-0.692307692307692,0.0125930304960939
"km5","3","ci1","a123",-0.608391608391608,0.0358059970520292
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
