"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
"plmw","1","p450","lead",0.730769230769231,0.004547733743967
NA,NA,NA,NA,NA,NA
"plmw","1","sod","mercury",-0.642857142857143,0.0177924506923757
NA,NA,NA,NA,NA,NA
"plmw","1","ci1","cadmium",0.561210984838344,0.0459811220865984
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"plmw","5","p450","zinc",0.508823529411765,0.0441352182349839
NA,NA,NA,NA,NA,NA
"plmw","5","sod","zinc",-0.620588235294118,0.0103135155496776
NA,NA,NA,NA,NA,NA
"plmw","5","ci1","arsenic",0.535797005751758,0.0324217917247669
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"plmw","4","p450","mercury",0.587412587412587,0.0446092964633631
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"plmw","4","ci1","lead",0.678321678321678,0.0153173290532818
NA,NA,NA,NA,NA,NA
"plmw","4","ci2","lead",0.685314685314685,0.0139059688143628
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
