"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc5","4","sod","a28",-0.636363636363636,0.0479117261299753
NA,NA,NA,NA,NA,NA
"hc5","4","ci1","a24",0.652451153651441,0.0408743307414565
"hc5","4","ci1","a25",0.713427896983352,0.0205214118768504
"hc5","4","ci1","a50",0.670744176651015,0.0337581369926527
"hc5","4","ci1","a51",0.695134873983779,0.0256465440085638
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc5","4","ci3","a24",0.648484848484848,0.0425401276844894
"hc5","4","ci3","a25",0.745454545454545,0.01333014631544
NA,NA,NA,NA,NA,NA
"hc5","4","shell","a24",0.660606060606061,0.0375883775714092
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc5","1","sod","a27",0.417741935483871,0.0193678889703832
"hc5","1","sod","a55",0.372177419354839,0.0392296387929569
"hc5","1","sod","a56",0.414112903225806,0.020557965972714
"hc5","1","sod","a57",0.360483870967742,0.0463534744939351
"hc5","1","sod","a61",0.374193548387097,0.0380955616464589
NA,NA,NA,NA,NA,NA
"hc5","1","ci1","a34",0.360057012662102,0.0466318125299858
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc5","1","ci3","a30",-0.372553166466545,0.0390162473878704
NA,NA,NA,NA,NA,NA
"hc5","1","shell","a28",0.370273285067816,0.040325490223903
NA,NA,NA,NA,NA,NA
"hc5","2","p450","a21",-0.400769230769231,0.04710305428021
"hc5","2","p450","a27",-0.405384615384615,0.0443877584152008
NA,NA,NA,NA,NA,NA
"hc5","2","sod","a21",0.441538461538462,0.0271306416492276
"hc5","2","sod","a24",0.421538461538462,0.0358409343795685
"hc5","2","sod","a25",0.449230769230769,0.0242731405535705
"hc5","2","sod","a26",0.427692307692308,0.0329524234936007
"hc5","2","sod","a27",0.466153846153846,0.0188382433440184
"hc5","2","sod","a28",0.456153846153846,0.0219141414288611
"hc5","2","sod","a30",0.473846153846154,0.0167198980120467
"hc5","2","sod","a38",0.474615384615385,0.0165192524650073
"hc5","2","sod","a40",0.503846153846154,0.010231357533069
"hc5","2","sod","a60",0.416153846153846,0.0385303483516848
"hc5","2","sod","a61",0.467692307692308,0.0183979447495526
"hc5","2","sod","a62",0.474615384615385,0.0165192524650073
NA,NA,NA,NA,NA,NA
"hc5","2","ci1","a37",0.52014815376996,0.00769136758785138
"hc5","2","ci1","a50",0.518220251050279,0.00796105944416547
"hc5","2","ci1","a51",0.446116689334206,0.0253991164551586
"hc5","2","ci1","a52",0.401389346237605,0.0467308388538177
"hc5","2","ci1","a61",0.397533540798242,0.0490831066447504
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc5","2","shell","a23",0.399692255902931,0.0477550155776854
"hc5","2","shell","a29",0.448163116580284,0.024654540234347
"hc5","2","shell","a32",0.409694179534766,0.0419650443662423
"hc5","2","shell","a35",0.400461634643842,0.0472885452265706
"hc5","2","shell","a36",0.562800548975927,0.0034023341975693
"hc5","2","shell","a39",0.5681862001623,0.00304567633854891
"hc5","2","shell","a41",0.399692255902931,0.0477550155776854
"hc5","2","shell","a42",0.399692255902931,0.0477550155776854
"hc5","2","shell","a43",0.405847285830214,0.0441225043551248
"hc5","2","shell","a44",0.405847285830214,0.0441225043551248
"hc5","2","shell","a45",0.399692255902931,0.0477550155776854
"hc5","2","shell","a46",0.405847285830214,0.0441225043551248
"hc5","2","shell","a47",0.432775541762077,0.0307092989641065
"hc5","2","shell","a48",0.399692255902931,0.0477550155776854
"hc5","2","shell","a49",0.399692255902931,0.0477550155776854
"hc5","2","shell","a58",0.473937304400781,0.0166960187076417
"hc5","2","shell","a59",0.399692255902931,0.0477550155776854
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc5","3","ci3","a24",-0.857142857142857,0.0136973266153255
"hc5","3","ci3","a51",-0.785714285714286,0.0362384626798273
NA,NA,NA,NA,NA,NA
"hc5","3","shell","a22",-0.964285714285714,0.000454149169194284
"hc5","3","shell","a55",-0.785714285714286,0.0362384626798273
