"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
"p42","1","p450","a28",0.621978021978022,0.0175503152905401
NA,NA,NA,NA,NA,NA
"p42","1","sod","a57",0.595604395604396,0.0246126107952869
NA,NA,NA,NA,NA,NA
"p42","1","ci1","a21",0.696703296703297,0.00562867700296765
"p42","1","ci1","a23",0.56043956043956,0.0371044770040743
"p42","1","ci1","a25",0.692307692307692,0.0060710487499902
"p42","1","ci1","a27",0.604395604395604,0.0220568617546162
"p42","1","ci1","a28",0.591208791208791,0.0259708136689625
"p42","1","ci1","a30",0.608791208791209,0.0208566160172232
"p42","1","ci1","a33",0.578021978021978,0.030383014145237
"p42","1","ci1","a34",0.578021978021978,0.030383014145237
"p42","1","ci1","a39",0.578021978021978,0.030383014145237
"p42","1","ci1","a41",0.56043956043956,0.0371044770040743
"p42","1","ci1","a43",0.578021978021978,0.030383014145237
"p42","1","ci1","a44",0.578021978021978,0.030383014145237
"p42","1","ci1","a46",0.578021978021978,0.030383014145237
"p42","1","ci1","a47",0.617582417582418,0.0186046742807084
"p42","1","ci1","a49",0.578021978021978,0.030383014145237
"p42","1","ci1","a56",0.591208791208791,0.0259708136689625
"p42","1","ci1","a60",0.613186813186813,0.0197063319260389
"p42","1","ci1","a61",0.648351648351648,0.0121442225731059
"p42","1","ci1","a62",0.648351648351648,0.0121442225731059
NA,NA,NA,NA,NA,NA
"p42","1","ci2","a28",-0.608791208791209,0.0208566160172232
"p42","1","ci2","a33",-0.556043956043956,0.0389436504186604
"p42","1","ci2","a34",-0.556043956043956,0.0389436504186604
"p42","1","ci2","a39",-0.556043956043956,0.0389436504186604
"p42","1","ci2","a43",-0.556043956043956,0.0389436504186604
"p42","1","ci2","a44",-0.556043956043956,0.0389436504186604
"p42","1","ci2","a46",-0.556043956043956,0.0389436504186604
"p42","1","ci2","a47",-0.551648351648352,0.0408490583511227
"p42","1","ci2","a49",-0.556043956043956,0.0389436504186604
"p42","1","ci2","a56",-0.551648351648352,0.0408490583511227
"p42","1","ci2","a60",-0.564835164835165,0.0353301848675527
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","1","shell","a23",0.551648351648352,0.0408490583511227
"p42","1","shell","a26",0.534065934065934,0.0491599163719849
"p42","1","shell","a28",0.595604395604396,0.0246126107952869
"p42","1","shell","a31",0.564835164835165,0.0353301848675527
"p42","1","shell","a32",0.564835164835165,0.0353301848675527
"p42","1","shell","a33",0.595604395604396,0.0246126107952869
"p42","1","shell","a34",0.595604395604396,0.0246126107952869
"p42","1","shell","a35",0.564835164835165,0.0353301848675527
"p42","1","shell","a37",-0.586813186813187,0.0273843755310876
"p42","1","shell","a39",0.595604395604396,0.0246126107952869
"p42","1","shell","a40",0.556043956043956,0.0389436504186604
"p42","1","shell","a41",0.551648351648352,0.0408490583511227
"p42","1","shell","a43",0.595604395604396,0.0246126107952869
"p42","1","shell","a44",0.595604395604396,0.0246126107952869
"p42","1","shell","a46",0.595604395604396,0.0246126107952869
"p42","1","shell","a47",0.569230769230769,0.0336194170772703
"p42","1","shell","a49",0.595604395604396,0.0246126107952869
"p42","1","shell","a53",0.564835164835165,0.0353301848675527
"p42","1","shell","a54",0.564835164835165,0.0353301848675527
"p42","1","shell","a56",0.591208791208791,0.0259708136689625
"p42","1","shell","a58",0.564835164835165,0.0353301848675527
"p42","1","shell","a60",0.582417582417582,0.0288546553576718
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","3","sod","a37",-0.72027972027972,0.00823976871233834
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","3","ci3","a21",0.64798698321297,0.022685763799563
"p42","3","ci3","a22",0.612960659796053,0.0340673316633562
"p42","3","ci3","a24",0.753065953463722,0.00469389304867374
"p42","3","ci3","a25",0.619965924479436,0.0315202260794163
"p42","3","ci3","a27",0.661997512579737,0.0190194558338805
"p42","3","ci3","a28",0.676008041946504,0.0158066882441519
"p42","3","ci3","a30",0.676008041946504,0.0158066882441519
"p42","3","ci3","a62",0.686515938971579,0.0136735522412892
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","4","ci1","a57",0.50766410522975,0.0374964156388868
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","4","shell","a52",0.499386878984581,0.0412569282991311
NA,NA,NA,NA,NA,NA
"p42","5","p450","a51",-0.587912087912088,0.0345860583421078
"p42","5","p450","a52",-0.681318681318681,0.0103404094514929
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","5","ci2","a22",0.615384615384615,0.0251671165518992
"p42","5","ci2","a25",0.615384615384615,0.0251671165518992
"p42","5","ci2","a52",0.587912087912088,0.0345860583421078
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","5","shell","a24",-0.56043956043956,0.0463459058940647
"p42","5","shell","a25",-0.554945054945055,0.0490044955983309
"p42","5","shell","a50",-0.582417582417582,0.0367413343586542
"p42","5","shell","a53",-0.725274725274725,0.00502323765535007
"p42","5","shell","a54",-0.675824175824176,0.0112252455776685
"p42","5","shell","a56",-0.703296703296703,0.00731856984210433
"p42","5","shell","a57",-0.692307692307692,0.00873031779674927
"p42","5","shell","a60",-0.554945054945055,0.0490044955983309
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","2","ci3","a40",-0.493546787506349,0.0373888350751845
