"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"km4","2","ci1","sum40CB",0.829283709313982,0.00300758630368181
"km4","2","ci1","sumDDT",0.640255804985059,0.0461402181935044
"km4","2","ci1","sumPCB",0.640255804985059,0.0461402181935044
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"km4","2","shell","sum40CB",0.793939393939394,0.00609992331369691
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"km4","4","sod","hmwPAH",0.372906403940887,0.0463323260143502
"km4","4","sod","lmwPAH",0.379310344827586,0.0424227322702126
"km4","4","sod","sum40CB",0.445320197044335,0.0154847567885295
"km4","4","sod","sum42PAH",0.379802955665025,0.0421332467409501
"km4","4","sod","sumBDE",0.416256157635468,0.0247010853162553
"km4","4","sod","sumDDT",0.480788177339901,0.00828811318440281
"km4","4","sod","sumPCB",0.430541871921182,0.0197296540603449
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"km4","1","p450","hmwPAH",-0.438461538461538,0.028346821628757
"km4","1","p450","lmwPAH",-0.441538461538462,0.0271306416492276
"km4","1","p450","sum16PAH",-0.510769230769231,0.00907873584487118
"km4","1","p450","sum40CB",-0.430769230769231,0.0315795624456008
"km4","1","p450","sum42PAH",-0.468461538461538,0.0181809655867609
"km4","1","p450","sumPAH",-0.468461538461538,0.0181809655867609
"km4","1","p450","sumPCB",-0.408461538461538,0.0426470824451322
NA,NA,NA,NA,NA,NA
"km4","1","sod","sum42PAH",0.398461538461538,0.0485086836389224
"km4","1","sod","sumPAH",0.398461538461538,0.0485086836389224
NA,NA,NA,NA,NA,NA
"km4","1","ci1","hmwPAH",-0.451849534841801,0.0233577971067205
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"km4","3","p450","hmwPAH",0.648484848484848,0.0425401276844894
"km4","3","p450","lmwPAH",0.721212121212121,0.0185731550894601
"km4","3","p450","sum16PAH",0.648484848484848,0.0425401276844894
"km4","3","p450","sum42PAH",0.648484848484848,0.0425401276844894
"km4","3","p450","sumPAH",0.648484848484848,0.0425401276844894
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"km4","3","ci3","hmwPAH",0.719525571316543,0.0189838986426589
"km4","3","ci3","lmwPAH",0.634158130651868,0.0489354101635602
"km4","3","ci3","sum16PAH",0.719525571316543,0.0189838986426589
"km4","3","ci3","sum42PAH",0.719525571316543,0.0189838986426589
"km4","3","ci3","sumPAH",0.719525571316543,0.0189838986426589
NA,NA,NA,NA,NA,NA
"km4","3","shell","hmwPAH",0.745454545454545,0.01333014631544
"km4","3","shell","lmwPAH",0.636363636363636,0.0479117261299753
"km4","3","shell","sum16PAH",0.745454545454545,0.01333014631544
"km4","3","shell","sum42PAH",0.745454545454545,0.01333014631544
"km4","3","shell","sumPAH",0.745454545454545,0.01333014631544
