"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","1","ci1","a1",0.635863971133406,0.0145154094021331
"phmw","1","ci1","a16",0.589659322711947,0.0264627124255015
"phmw","1","ci1","a2",0.539054231583683,0.0466871979268229
"phmw","1","ci1","a63",0.554455781057503,0.03962437997285
"phmw","1","ci1","a67",0.635863971133406,0.0145154094021331
"phmw","1","ci1","a68",0.653465741960628,0.0112639595537085
"phmw","1","ci1","a69",0.539054231583683,0.0466871979268229
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","4","shell","a1",0.719472382562712,0.00372333019771154
"phmw","4","shell","a16",0.554455781057503,0.03962437997285
"phmw","4","shell","a2",0.695269947675281,0.00577006922142598
"phmw","4","shell","a4",0.633663749780003,0.0149673797653045
"phmw","4","shell","a63",0.657866184667434,0.0105465222671837
"phmw","4","shell","a67",0.712871718502504,0.00421342597819385
"phmw","4","shell","a68",0.699670390382087,0.00534458221593814
"phmw","4","shell","a69",0.695269947675281,0.00577006922142598
"phmw","4","shell","a71",0.638064192486809,0.0140739305035198
"phmw","4","shell","a75",0.657866184667434,0.0105465222671837
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","3","sod","a1",-0.818181818181818,0.00208314484047856
"phmw","3","sod","a2",-0.709090909090909,0.0145520519537277
"phmw","3","sod","a4",-0.709090909090909,0.0145520519537277
"phmw","3","sod","a63",-0.709090909090909,0.0145520519537277
"phmw","3","sod","a67",-0.772727272727273,0.00529948717864381
"phmw","3","sod","a68",-0.763636363636364,0.00623305974790478
"phmw","3","sod","a69",-0.709090909090909,0.0145520519537277
"phmw","3","sod","a71",-0.7,0.0164709788365145
"phmw","3","sod","a75",-0.709090909090909,0.0145520519537277
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","2","shell","a2",0.648484848484848,0.0425401276844894
"phmw","2","shell","a68",0.648484848484848,0.0425401276844894
