"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc4","4","ci1","a72",0.847576732313555,0.0019563760883019
"hc4","4","ci1","a76",0.87806510397951,0.000832692255795298
NA,NA,NA,NA,NA,NA
"hc4","4","ci2","a77",0.684848484848485,0.0288827975067327
NA,NA,NA,NA,NA,NA
"hc4","4","ci3","a72",0.709090909090909,0.0216659233675323
"hc4","4","ci3","a77",0.733333333333333,0.0158005962505716
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc4","1","ci1","a3",0.377423755841542,0.0363337161966357
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc4","1","ci3","a72",-0.364076875571856,0.0440627459019134
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc4","2","sod","a77",0.514615384615385,0.00848653210284245
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc4","2","shell","a3",0.425466443723428,0.0339749346247702
"hc4","2","shell","a65",0.425466443723428,0.0339749346247702
"hc4","2","shell","a66",0.399692255902931,0.0477550155776854
"hc4","2","shell","a70",0.39661474093929,0.0496570672669763
"hc4","2","shell","a73",0.41815734568478,0.0375116011776007
"hc4","2","shell","a74",0.39661474093929,0.0496570672669763
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
