"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","1","ci1","a3",0.578021978021978,0.030383014145237
"p42","1","ci1","a65",0.578021978021978,0.030383014145237
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","1","shell","a3",0.582417582417582,0.0288546553576718
"p42","1","shell","a65",0.582417582417582,0.0288546553576718
"p42","1","shell","a70",0.564835164835165,0.0353301848675527
"p42","1","shell","a72",0.573626373626374,0.031970813976397
"p42","1","shell","a73",0.564835164835165,0.0353301848675527
"p42","1","shell","a74",0.564835164835165,0.0353301848675527
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","3","sod","a77",0.748251748251748,0.005124081698753
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","4","ci1","a76",0.553035051832409,0.021299802514841
"p42","4","ci1","a77",0.544451359231906,0.0238415959851399
NA,NA,NA,NA,NA,NA
"p42","4","ci2","a72",0.487745098039216,0.0470210969967304
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","5","shell","a77",-0.593406593406593,0.0325244402700968
NA,NA,NA,NA,NA,NA
"p42","2","p450","a76",0.498452012383901,0.0352536358649709
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
