"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"km4","2","sod","a28",-0.636363636363636,0.0479117261299753
NA,NA,NA,NA,NA,NA
"km4","2","ci1","a101",0.792697663314835,0.00623823376894284
"km4","2","ci1","a103",0.695134873983779,0.0256465440085638
"km4","2","ci1","a109",0.841479057980364,0.00227104319813121
"km4","2","ci1","a24",0.652451153651441,0.0408743307414565
"km4","2","ci1","a25",0.713427896983352,0.0205214118768504
"km4","2","ci1","a50",0.670744176651015,0.0337581369926527
"km4","2","ci1","a51",0.695134873983779,0.0256465440085638
"km4","2","ci1","a72",0.847576732313555,0.0019563760883019
"km4","2","ci1","a76",0.87806510397951,0.000832692255795298
"km4","2","ci1","a95",0.695134873983779,0.0256465440085638
"km4","2","ci1","a96",0.670744176651015,0.0337581369926527
NA,NA,NA,NA,NA,NA
"km4","2","ci2","a77",0.684848484848485,0.0288827975067327
NA,NA,NA,NA,NA,NA
"km4","2","ci3","a131",0.636363636363636,0.0479117261299753
"km4","2","ci3","a24",0.648484848484848,0.0425401276844894
"km4","2","ci3","a25",0.745454545454545,0.01333014631544
"km4","2","ci3","a72",0.709090909090909,0.0216659233675323
"km4","2","ci3","a77",0.733333333333333,0.0158005962505716
"km4","2","ci3","a98",0.648484848484848,0.0425401276844894
NA,NA,NA,NA,NA,NA
"km4","2","shell","a20",0.636363636363636,0.0479117261299753
"km4","2","shell","a24",0.660606060606061,0.0375883775714092
"km4","2","shell","a9",0.636363636363636,0.0479117261299753
NA,NA,NA,NA,NA,NA
"km4","4","p450","a101",-0.378325123152709,0.0430064607759344
"km4","4","p450","a21",-0.386699507389163,0.0382434651735619
"km4","4","p450","a25",-0.370935960591133,0.04759114247471
"km4","4","p450","a27",-0.411822660098522,0.0264369363180614
"km4","4","p450","a28",-0.3935960591133,0.0346469428539979
"km4","4","p450","a30",-0.426108374384236,0.0211754125367885
NA,NA,NA,NA,NA,NA
"km4","4","sod","a100",0.459605911330049,0.0121308115332268
"km4","4","sod","a101",0.479310344827586,0.00851784123054022
"km4","4","sod","a102",0.479802955665025,0.00844067635001577
"km4","4","sod","a103",0.477832512315271,0.00875291192226268
"km4","4","sod","a104",0.492118226600985,0.00669428928497084
"km4","4","sod","a106",0.558128078817734,0.00165397767813991
"km4","4","sod","a107",0.446305418719212,0.0152311008378914
"km4","4","sod","a108",0.461083743842365,0.0118215112323612
"km4","4","sod","a109",0.430049261083744,0.0198861663854615
"km4","4","sod","a11",0.43743842364532,0.0176428793968937
"km4","4","sod","a111",0.41576354679803,0.0248892350152774
"km4","4","sod","a114",0.422167487684729,0.0225325123974525
"km4","4","sod","a116",0.452709359605911,0.0136650344355431
"km4","4","sod","a118",0.382758620689655,0.0404292649203488
"km4","4","sod","a119",0.443349753694581,0.0160025878963146
"km4","4","sod","a123",0.414778325123153,0.0252690446265205
"km4","4","sod","a124",0.39064039408867,0.0361534187654056
"km4","4","sod","a21",0.435960591133005,0.0180739596730659
"km4","4","sod","a24",0.414778325123153,0.0252690446265205
"km4","4","sod","a25",0.432512315270936,0.0191137095941856
"km4","4","sod","a27",0.449261083743842,0.0144907383017536
"km4","4","sod","a28",0.421674876847291,0.0227070497400121
"km4","4","sod","a30",0.442857142857143,0.0161342637444113
"km4","4","sod","a38",0.410344827586207,0.027037156155683
"km4","4","sod","a40",0.420689655172414,0.0230594472176822
"km4","4","sod","a60",0.392118226600985,0.035393733535805
"km4","4","sod","a61",0.472906403940887,0.00957632186638424
"km4","4","sod","a62",0.454187192118227,0.0133233551777785
"km4","4","sod","a77",0.552709359605911,0.00187536731859694
"km4","4","sod","a80",0.539901477832512,0.00250305441619325
"km4","4","sod","a82",0.37192118226601,0.0469583886072589
"km4","4","sod","a84",0.410837438423645,0.0268358631224435
"km4","4","sod","a86",0.511330049261084,0.00458361440049471
"km4","4","sod","a87",0.373399014778325,0.0460217890410519
"km4","4","sod","a88",0.508374384236453,0.00486549369622713
"km4","4","sod","a89",0.41576354679803,0.0248892350152774
"km4","4","sod","a90",0.407389162561576,0.028270868848443
"km4","4","sod","a92",0.474384236453202,0.00932273470886802
"km4","4","sod","a94",0.387192118226601,0.0379770337581067
"km4","4","sod","a95",0.540886699507389,0.00244905874394519
"km4","4","sod","a96",0.439408866995074,0.0170813524108551
"km4","4","sod","a97",0.408374384236453,0.0278546515090459
"km4","4","sod","a98",0.438423645320197,0.017360239288712
NA,NA,NA,NA,NA,NA
"km4","4","ci1","a129",0.381918674168681,0.0409078017071043
"km4","4","ci1","a37",0.517541799730522,0.0040363383093911
"km4","4","ci1","a50",0.56126728829964,0.00153638616045804
"km4","4","ci1","a51",0.490120730627854,0.00695472823057841
"km4","4","ci1","a52",0.445160058765823,0.0155263152991787
NA,NA,NA,NA,NA,NA
"km4","4","ci2","a52",0.370935960591133,0.04759114247471
NA,NA,NA,NA,NA,NA
"km4","4","ci3","a50",0.379990189078253,0.0420236321490126
"km4","4","ci3","a51",0.370625969113939,0.0477916245146006
"km4","4","ci3","a52",0.391572250613064,0.0356728843549996
NA,NA,NA,NA,NA,NA
"km4","4","shell","a113",0.368764628982631,0.0490095298832238
"km4","4","shell","a115",0.381081416857802,0.0413892989915428
"km4","4","shell","a36",0.417785444725813,0.0241243698263265
"km4","4","shell","a39",0.431087575630998,0.0195574583033111
"km4","4","shell","a47",0.372706001102685,0.0464591329143029
"km4","4","shell","a58",0.368518293225127,0.0491725349263583
"km4","4","shell","a74",0.395861562308008,0.0335268026144662
NA,NA,NA,NA,NA,NA
"km4","1","p450","a100",-0.475384615384615,0.0163205827196773
"km4","1","p450","a105",-0.476923076923077,0.0159291128490839
"km4","1","p450","a110",-0.444615384615385,0.0259568064896145
"km4","1","p450","a112",-0.482307692307692,0.0146190987112989
"km4","1","p450","a114",0.475384615384615,0.0163205827196773
"km4","1","p450","a115",0.468461538461538,0.0181809655867609
"km4","1","p450","a117",-0.606923076923077,0.00129582914819659
"km4","1","p450","a120",0.576923076923077,0.00253469578852172
"km4","1","p450","a123",-0.414615384615385,0.0393274141904965
"km4","1","p450","a125",-0.434615384615385,0.0299282217204777
"km4","1","p450","a127",-0.531538461538462,0.00624898340678737
"km4","1","p450","a128",-0.623846153846154,0.00086122727485427
"km4","1","p450","a130",0.473076923076923,0.01692253387675
"km4","1","p450","a24",-0.416153846153846,0.0385303483516848
"km4","1","p450","a27",-0.416153846153846,0.0385303483516848
"km4","1","p450","a30",-0.396153846153846,0.0499469514528688
"km4","1","p450","a57",-0.407692307692308,0.0430771182607268
"km4","1","p450","a61",-0.426153846153846,0.0336564947820888
"km4","1","p450","a81",0.485384615384615,0.0139111715968869
"km4","1","p450","a83",-0.438461538461538,0.028346821628757
"km4","1","p450","a85",-0.486153846153846,0.0137386705019702
"km4","1","p450","a87",-0.515384615384615,0.00837204298428662
"km4","1","p450","a91",-0.468461538461538,0.0181809655867609
"km4","1","p450","a94",-0.465384615384615,0.0190615928407545
NA,NA,NA,NA,NA,NA
"km4","1","sod","a114",-0.407692307692308,0.0430771182607268
"km4","1","sod","a115",-0.413076923076923,0.0401374781593793
"km4","1","sod","a120",-0.500769230769231,0.0107812599803301
"km4","1","sod","a130",-0.404615384615385,0.0448315425756616
"km4","1","sod","a56",0.403846153846154,0.0452788087683855
"km4","1","sod","a57",0.446153846153846,0.0253854374025657
"km4","1","sod","a81",-0.403076923076923,0.0457295750034494
"km4","1","sod","a90",-0.399230769230769,0.0480365381599244
"km4","1","sod","a91",0.423846153846154,0.0347350418268229
NA,NA,NA,NA,NA,NA
"km4","1","ci1","a106",-0.40177243379369,0.0465020519734738
"km4","1","ci1","a131",0.41525473022972,0.0389946035253388
"km4","1","ci1","a85",-0.453005160250604,0.0229628543124103
"km4","1","ci1","a87",-0.421803274212935,0.0357126268499175
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"km4","1","ci3","a28",-0.423869301231472,0.0347240884416333
"km4","1","ci3","a30",-0.450048331643588,0.0239843166814528
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"km4","3","p450","a100",0.793939393939394,0.00609992331369691
"km4","3","p450","a106",0.709090909090909,0.0216659233675323
"km4","3","p450","a110",0.76969696969697,0.00922195272221593
"km4","3","p450","a117",0.648484848484848,0.0425401276844894
NA,NA,NA,NA,NA,NA
"km4","3","sod","a112",0.696969696969697,0.0250966758822517
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"km4","3","ci2","a120",-0.672727272727273,0.0330412225454377
"km4","3","ci2","a121",-0.672727272727273,0.0330412225454377
"km4","3","ci2","a93",-0.672727272727273,0.0330412225454377
NA,NA,NA,NA,NA,NA
"km4","3","ci3","a101",0.634158130651868,0.0489354101635602
"km4","3","ci3","a102",0.725623245649734,0.0175280564883424
"km4","3","ci3","a103",0.725623245649734,0.0175280564883424
"km4","3","ci3","a104",0.725623245649734,0.0175280564883424
"km4","3","ci3","a106",0.731720919982925,0.016151595363108
"km4","3","ci3","a107",0.634158130651868,0.0489354101635602
"km4","3","ci3","a108",0.725623245649734,0.0175280564883424
"km4","3","ci3","a109",0.725623245649734,0.0175280564883424
"km4","3","ci3","a111",0.689037199650588,0.0275331817003648
"km4","3","ci3","a112",0.798795337648026,0.00557993827338743
"km4","3","ci3","a114",0.725623245649734,0.0175280564883424
