"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
"phmw","1","p450","a113",0.538461538461538,0.0469761458595552
"phmw","1","p450","a119",0.547252747252747,0.0428220493781972
"phmw","1","p450","a125",-0.657142857142857,0.0106619677473296
"phmw","1","p450","a84",0.547252747252747,0.0428220493781972
"phmw","1","p450","a99",-0.718681318681319,0.00377957996141243
NA,NA,NA,NA,NA,NA
"phmw","1","sod","a113",-0.674725274725275,0.00811770639755327
"phmw","1","sod","a115",-0.573626373626374,0.031970813976397
"phmw","1","sod","a119",-0.63956043956044,0.0137796168334638
"phmw","1","sod","a125",0.775824175824176,0.00110847866777863
"phmw","1","sod","a126",-0.674725274725275,0.00811770639755327
"phmw","1","sod","a22",0.648351648351648,0.0121442225731059
"phmw","1","sod","a50",0.608791208791209,0.0208566160172232
"phmw","1","sod","a51",0.573626373626374,0.031970813976397
"phmw","1","sod","a52",0.547252747252747,0.0428220493781972
"phmw","1","sod","a55",0.648351648351648,0.0121442225731059
"phmw","1","sod","a57",0.714285714285714,0.00410440916188026
"phmw","1","sod","a83",-0.643956043956044,0.012942152559323
"phmw","1","sod","a84",-0.63956043956044,0.0137796168334638
"phmw","1","sod","a85",-0.657142857142857,0.0106619677473296
"phmw","1","sod","a86",-0.679120879120879,0.00756225703114533
"phmw","1","sod","a88",-0.679120879120879,0.00756225703114533
NA,NA,NA,NA,NA,NA
"phmw","1","ci1","a1",0.635863971133406,0.0145154094021331
"phmw","1","ci1","a11",0.594059765418753,0.0250836641679537
"phmw","1","ci1","a112",0.539054231583683,0.0466871979268229
"phmw","1","ci1","a12",0.554455781057503,0.03962437997285
"phmw","1","ci1","a13",0.554455781057503,0.03962437997285
"phmw","1","ci1","a14",0.554455781057503,0.03962437997285
"phmw","1","ci1","a15",0.563256666471114,0.0359599671796214
"phmw","1","ci1","a16",0.589659322711947,0.0264627124255015
"phmw","1","ci1","a17",0.554455781057503,0.03962437997285
"phmw","1","ci1","a18",0.554455781057503,0.03962437997285
"phmw","1","ci1","a19",0.554455781057503,0.03962437997285
"phmw","1","ci1","a2",0.539054231583683,0.0466871979268229
"phmw","1","ci1","a20",0.598460208125559,0.02375921498767
"phmw","1","ci1","a21",0.574257773238128,0.0317390292222712
"phmw","1","ci1","a23",0.563256666471114,0.0359599671796214
"phmw","1","ci1","a25",0.589659322711947,0.0264627124255015
"phmw","1","ci1","a3",0.635863971133406,0.0145154094021331
"phmw","1","ci1","a33",0.651265520607225,0.0116364468413361
"phmw","1","ci1","a34",0.598460208125559,0.02375921498767
"phmw","1","ci1","a39",0.598460208125559,0.02375921498767
"phmw","1","ci1","a41",0.563256666471114,0.0359599671796214
"phmw","1","ci1","a43",0.598460208125559,0.02375921498767
"phmw","1","ci1","a44",0.598460208125559,0.02375921498767
"phmw","1","ci1","a46",0.598460208125559,0.02375921498767
"phmw","1","ci1","a47",0.640264413840211,0.0136427826180587
"phmw","1","ci1","a49",0.563256666471114,0.0359599671796214
"phmw","1","ci1","a5",0.554455781057503,0.03962437997285
"phmw","1","ci1","a53",0.594059765418753,0.0250836641679537
"phmw","1","ci1","a55",0.572057551884725,0.0325521632640671
"phmw","1","ci1","a56",0.651265520607225,0.0116364468413361
"phmw","1","ci1","a6",0.600660429478961,0.0231170404807917
"phmw","1","ci1","a60",0.72607304662292,0.00327918128200277
"phmw","1","ci1","a61",0.629263307073198,0.0159034403240654
"phmw","1","ci1","a62",0.629263307073198,0.0159034403240654
"phmw","1","ci1","a63",0.554455781057503,0.03962437997285
"phmw","1","ci1","a65",0.635863971133406,0.0145154094021331
"phmw","1","ci1","a67",0.635863971133406,0.0145154094021331
"phmw","1","ci1","a68",0.653465741960628,0.0112639595537085
"phmw","1","ci1","a69",0.539054231583683,0.0466871979268229
"phmw","1","ci1","a7",0.554455781057503,0.03962437997285
"phmw","1","ci1","a72",0.554455781057503,0.03962437997285
"phmw","1","ci1","a9",0.598460208125559,0.02375921498767
NA,NA,NA,NA,NA,NA
"phmw","1","ci2","a105",0.564835164835165,0.0353301848675527
"phmw","1","ci2","a125",0.604395604395604,0.0220568617546162
"phmw","1","ci2","a28",-0.604395604395604,0.0220568617546162
"phmw","1","ci2","a83",-0.701098901098901,0.00521186176994703
"phmw","1","ci2","a85",-0.67032967032967,0.00870423380985885
"phmw","1","ci2","a87",-0.595604395604396,0.0246126107952869
"phmw","1","ci2","a89",-0.578021978021978,0.030383014145237
"phmw","1","ci2","a91",-0.538461538461538,0.0469761458595552
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","1","shell","a106",0.538461538461538,0.0469761458595552
"phmw","1","shell","a117",0.534065934065934,0.0491599163719849
"phmw","1","shell","a125",-0.582417582417582,0.0288546553576718
"phmw","1","shell","a28",0.683516483516484,0.0070367436398846
"phmw","1","shell","a83",0.582417582417582,0.0288546553576718
"phmw","1","shell","a85",0.547252747252747,0.0428220493781972
"phmw","1","shell","a91",0.542857142857143,0.0448639664392485
NA,NA,NA,NA,NA,NA
"phmw","4","p450","a107",-0.679120879120879,0.00756225703114533
"phmw","4","p450","a113",-0.573626373626374,0.031970813976397
"phmw","4","p450","a119",-0.586813186813187,0.0273843755310876
