"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"reporting_area","7","sod","a1",-0.666666666666667,0.0498672305688852
"reporting_area","7","sod","a13",-0.666666666666667,0.0498672305688852
"reporting_area","7","sod","a3",-0.666666666666667,0.0498672305688852
"reporting_area","7","sod","a6",-0.666666666666667,0.0498672305688852
"reporting_area","7","sod","a64",-0.75,0.0199421261319925
"reporting_area","7","sod","a65",-0.666666666666667,0.0498672305688852
"reporting_area","7","sod","a67",-0.666666666666667,0.0498672305688852
"reporting_area","7","sod","a68",-0.666666666666667,0.0498672305688852
"reporting_area","7","sod","a69",-0.666666666666667,0.0498672305688852
NA,NA,NA,NA,NA,NA
"reporting_area","7","ci1","a101",0.761512941967708,0.0171171255258007
"reporting_area","7","ci1","a109",0.820090860580609,0.00678753281924394
"reporting_area","7","ci1","a131",0.719671571529922,0.0288191846014358
"reporting_area","7","ci1","a21",0.711303297442365,0.0316565570333023
"reporting_area","7","ci1","a24",0.820090860580609,0.00678753281924394
"reporting_area","7","ci1","a25",0.828459134668166,0.00579537319943979
"reporting_area","7","ci1","a72",0.820090860580609,0.00678753281924394
"reporting_area","7","ci1","a76",0.853563956930838,0.00341821524290165
"reporting_area","7","ci1","a77",0.719671571529922,0.0288191846014358
"reporting_area","7","ci1","a96",0.69456674926725,0.0378640538434516
NA,NA,NA,NA,NA,NA
"reporting_area","7","ci2","a77",0.7,0.0357695749702618
NA,NA,NA,NA,NA,NA
"reporting_area","7","ci3","a131",0.683333333333333,0.0424422720870723
"reporting_area","7","ci3","a25",0.733333333333333,0.0245541500714697
"reporting_area","7","ci3","a72",0.883333333333333,0.00159050042349795
"reporting_area","7","ci3","a76",0.733333333333333,0.0245541500714697
"reporting_area","7","ci3","a77",0.7,0.0357695749702618
NA,NA,NA,NA,NA,NA
"reporting_area","7","shell","a109",0.666666666666667,0.0498672305688852
"reporting_area","7","shell","a12",0.683333333333333,0.0424422720870723
"reporting_area","7","shell","a14",0.683333333333333,0.0424422720870723
"reporting_area","7","shell","a17",0.683333333333333,0.0424422720870723
"reporting_area","7","shell","a18",0.683333333333333,0.0424422720870723
"reporting_area","7","shell","a19",0.683333333333333,0.0424422720870723
"reporting_area","7","shell","a2",0.683333333333333,0.0424422720870723
"reporting_area","7","shell","a20",0.733333333333333,0.0245541500714697
"reporting_area","7","shell","a24",0.683333333333333,0.0424422720870723
"reporting_area","7","shell","a5",0.683333333333333,0.0424422720870723
"reporting_area","7","shell","a50",0.666666666666667,0.0498672305688852
"reporting_area","7","shell","a63",0.683333333333333,0.0424422720870723
"reporting_area","7","shell","a7",0.683333333333333,0.0424422720870723
"reporting_area","7","shell","a75",0.683333333333333,0.0424422720870723
"reporting_area","7","shell","a76",0.666666666666667,0.0498672305688852
"reporting_area","7","shell","a9",0.733333333333333,0.0245541500714697
NA,NA,NA,NA,NA,NA
"reporting_area","11","p450","a131",0.65,0.00871158362191227
NA,NA,NA,NA,NA,NA
"reporting_area","11","sod","a107",-0.621428571428571,0.0134020067121816
"reporting_area","11","sod","a112",0.607142857142857,0.0163813067683072
"reporting_area","11","sod","a113",-0.614285714285714,0.0148339554059769
"reporting_area","11","sod","a114",-0.542857142857143,0.0365218225548372
"reporting_area","11","sod","a115",-0.575,0.0249362279425824
"reporting_area","11","sod","a123",0.528571428571429,0.0427972893094504
"reporting_area","11","sod","a128",0.539285714285714,0.0380216562635578
"reporting_area","11","sod","a130",-0.564285714285714,0.0284325221487085
"reporting_area","11","sod","a3",-0.55,0.033655357815007
"reporting_area","11","sod","a47",-0.546428571428571,0.0350666602167098
"reporting_area","11","sod","a68",-0.55,0.033655357815007
"reporting_area","11","sod","a81",-0.542857142857143,0.0365218225548372
"reporting_area","11","sod","a86",0.582142857142857,0.0227936871264141
"reporting_area","11","sod","a90",-0.564285714285714,0.0284325221487085
"reporting_area","11","sod","a91",0.514285714285714,0.0498392334714206
NA,NA,NA,NA,NA,NA
"reporting_area","11","ci1","a10",0.666670948941368,0.00664096522470659
"reporting_area","11","ci1","a12",0.666670948941368,0.00664096522470659
"reporting_area","11","ci1","a121",0.541222114463154,0.0372028652693195
"reporting_area","11","ci1","a13",0.677423706182358,0.0055261944595193
"reporting_area","11","ci1","a14",0.666670948941368,0.00664096522470659
"reporting_area","11","ci1","a17",0.666670948941368,0.00664096522470659
"reporting_area","11","ci1","a18",0.666670948941368,0.00664096522470659
"reporting_area","11","ci1","a19",0.677423706182358,0.0055261944595193
"reporting_area","11","ci1","a2",0.663086696527705,0.0070494816720692
"reporting_area","11","ci1","a20",0.670255201355031,0.0062513262005881
"reporting_area","11","ci1","a23",0.677423706182358,0.0055261944595193
"reporting_area","11","ci1","a26",0.670255201355031,0.0062513262005881
"reporting_area","11","ci1","a29",0.655918191700378,0.00792569406900001
"reporting_area","11","ci1","a3",0.709681977905327,0.00304032766691731
"reporting_area","11","ci1","a31",0.666670948941368,0.00664096522470659
"reporting_area","11","ci1","a32",0.666670948941368,0.00664096522470659
"reporting_area","11","ci1","a33",0.630828424804735,0.0116834936312873
"reporting_area","11","ci1","a34",0.648749686873052,0.00888515707255388
"reporting_area","11","ci1","a35",0.666670948941368,0.00664096522470659
"reporting_area","11","ci1","a36",0.666670948941368,0.00664096522470659
"reporting_area","11","ci1","a39",0.637996929632062,0.0104921857789577
"reporting_area","11","ci1","a41",0.677423706182358,0.0055261944595193
"reporting_area","11","ci1","a42",0.677423706182358,0.0055261944595193
"reporting_area","11","ci1","a43",0.648749686873052,0.00888515707255388
"reporting_area","11","ci1","a44",0.659502444114042,0.00747750984198747
"reporting_area","11","ci1","a45",0.666670948941368,0.00664096522470659
"reporting_area","11","ci1","a46",0.648749686873052,0.00888515707255388
"reporting_area","11","ci1","a47",0.709681977905327,0.00304032766691731
"reporting_area","11","ci1","a48",0.677423706182358,0.0055261944595193
"reporting_area","11","ci1","a49",0.677423706182358,0.0055261944595193
"reporting_area","11","ci1","a5",0.584233143427113,0.0221940637817681
"reporting_area","11","ci1","a58",0.641581182045725,0.00993321869072838
"reporting_area","11","ci1","a59",0.677423706182358,0.0055261944595193
"reporting_area","11","ci1","a6",0.605738657909093,0.0166995879976095
"reporting_area","11","ci1","a63",0.666670948941368,0.00664096522470659
"reporting_area","11","ci1","a65",0.605738657909093,0.0166995879976095
"reporting_area","11","ci1","a66",0.677423706182358,0.0055261944595193
"reporting_area","11","ci1","a67",0.605738657909093,0.0166995879976095
"reporting_area","11","ci1","a68",0.709681977905327,0.00304032766691731
"reporting_area","11","ci1","a69",0.634412677218399,0.0110753744936964
"reporting_area","11","ci1","a7",0.677423706182358,0.0055261944595193
"reporting_area","11","ci1","a70",0.666670948941368,0.00664096522470659
"reporting_area","11","ci1","a71",0.666670948941368,0.00664096522470659
"reporting_area","11","ci1","a73",0.666670948941368,0.00664096522470659
"reporting_area","11","ci1","a75",0.666670948941368,0.00664096522470659
"reporting_area","11","ci1","a8",0.666670948941368,0.00664096522470659
"reporting_area","11","ci1","a87",-0.551974871704143,0.0328934937344756
"reporting_area","11","ci1","a9",0.670255201355031,0.0062513262005881
"reporting_area","11","ci1","a93",0.541222114463154,0.0372028652693195
NA,NA,NA,NA,NA,NA
"reporting_area","11","ci2","a5",0.603571428571429,0.0172001380687954
NA,NA,NA,NA,NA,NA
"reporting_area","11","ci3","a101",-0.579607367500474,0.0235374978394862
"reporting_area","11","ci3","a103",-0.595707572153265,0.0191138869481793
"reporting_area","11","ci3","a109",-0.51520654888931,0.0493612102803063
"reporting_area","11","ci3","a112",-0.81932152566425,0.000185859044344205
"reporting_area","11","ci3","a117",-0.638641451227374,0.0103899063694555
"reporting_area","11","ci3","a118",-0.522362195401662,0.0457608465076205
"reporting_area","11","ci3","a123",-0.542040223310628,0.036860921033155
"reporting_area","11","ci3","a125",-0.552773693079156,0.0325890329238789
"reporting_area","11","ci3","a127",-0.527728930285925,0.0431908137246682
"reporting_area","11","ci3","a128",-0.64221927448355,0.00983619408875791
"reporting_area","11","ci3","a21",-0.597496483781353,0.0186648541681687
"reporting_area","11","ci3","a22",-0.661897302392517,0.00718932344524514
"reporting_area","11","ci3","a24",-0.593918660525177,0.019571153392625
"reporting_area","11","ci3","a25",-0.697675534954274,0.00383056011831284
"reporting_area","11","ci3","a27",-0.703042269838538,0.00345932815745131
"reporting_area","11","ci3","a28",-0.649374920995901,0.00879802451041756
"reporting_area","11","ci3","a30",-0.649374920995901,0.00879802451041756
"reporting_area","11","ci3","a56",-0.622541246574583,0.0131889495800896
"reporting_area","11","ci3","a61",-0.610018865177968,0.0157440174018908
"reporting_area","11","ci3","a62",-0.615385600062232,0.0146060909187162
"reporting_area","11","ci3","a72",-0.547406958194892,0.034675708721132
"reporting_area","11","ci3","a80",-0.590340837269001,0.020510778918327
"reporting_area","11","ci3","a83",-0.565296074475771,0.028087859798934
"reporting_area","11","ci3","a85",-0.683364241929571,0.00497712725827082
"reporting_area","11","ci3","a86",-0.783543293102493,0.000548319069534786
"reporting_area","11","ci3","a87",-0.73524267914412,0.00178825476624778
"reporting_area","11","ci3","a88",-0.561718251219595,0.0293227329956953
"reporting_area","11","ci3","a89",-0.67620859541722,0.00564418048954529
"reporting_area","11","ci3","a91",-0.61717451169032,0.0142412680564039
"reporting_area","11","ci3","a92",-0.550984781451068,0.0332738130093775
