"Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA
"sod","a100",0.265723805997779,0.0221240473276594
"sod","a101",0.272032580525731,0.0190435881310613
"sod","a102",0.298896704924102,0.00968549710767741
"sod","a103",0.281747500925583,0.0150195387859617
"sod","a104",0.307663828211773,0.00766273867486689
"sod","a105",0.246145871899297,0.0345134306662629
"sod","a106",0.31897815623843,0.00560571160648982
"sod","a108",0.285686782673084,0.0136102248547052
"sod","a110",0.259474268789337,0.0255840869289243
"sod","a111",0.272565716401333,0.018800976166206
"sod","a123",0.234179933358016,0.0446205234141213
"sod","a21",0.235038874490929,0.0438215923425784
"sod","a22",0.245227693446872,0.0352143199295023
"sod","a25",0.23115883006294,0.0475266805381573
"sod","a27",0.240192521288412,0.0392726139726567
"sod","a55",0.238119215105516,0.0410530937548823
"sod","a56",0.265279526101444,0.0223561231728755
"sod","a57",0.331625323954091,0.00389751185248421
"sod","a61",0.248722695298038,0.0326084634137049
"sod","a62",0.234950018511662,0.0439036881200328
"sod","a76",0.268271010736764,0.020832700590778
"sod","a77",0.260629396519807,0.0249120775229019
"sod","a89",0.236164383561644,0.0427926516142072
"sod","a91",0.247449092928545,0.0335386810548994
"sod","a94",0.255623843021103,0.0279360401061419
"sod","a95",0.2726545723806,0.0187607992291867
"sod","a96",0.270373935579415,0.0198155894765402
"sod","a97",0.242502776749352,0.0373647403549024
