"Comparison","Z","P.adjusted"
"1 - 2",0.536868720869194,1
"1 - 3",-1.55080652290324,1
"2 - 3",-2.22777646916615,0.362535946449435
"1 - 4",-1.16549846642086,1
"2 - 4",-1.75814342589189,1
"3 - 4",0.286545915355067,1
"1 - 5",-0.727567652642794,1
"2 - 5",-1.34279345408528,1
"3 - 5",0.867733490953559,1
"4 - 5",0.511026853120426,1
"1 - 6",-0.506942915535428,1
"2 - 6",-1.07051087002287,1
"3 - 6",1.00626247974748,1
"4 - 6",0.662470226578333,1
"5 - 6",0.191069699277689,1
"1 - 7",-2.82815357689285,0.0655442772887497
"2 - 7",-3.56849534585954,0.00502652122605255
"3 - 7",-1.40977887317506,1
"4 - 7",-1.57141671842142,1
"5 - 7",-2.23923211908311,0.351971438028851
"6 - 7",-2.29165562352774,0.306957322422245
"1 - 8",-0.598799110085659,1
"2 - 8",-1.16209310510293,1
"3 - 8",0.894559555118267,1
"4 - 8",0.562389792983017,1
"5 - 8",0.0881585337165515,1
"6 - 8",-0.095770870243129,1
"7 - 8",2.1706021052584,0.419457679470149
