"Comparison","Z","P.adjusted"
"1 - 2",0.772165000559133,1
"1 - 3",-1.43401972729086,1
"2 - 3",-2.34396836151935,0.267117057482382
"1 - 4",-0.912851409135132,1
"2 - 4",-1.71245657726658,1
"3 - 4",0.432219729320027,1
"1 - 5",-0.653213245383719,1
"2 - 5",-1.50730559242503,1
"3 - 5",0.822257445739018,1
"4 - 5",0.320918165542762,1
"1 - 6",-0.264949299803481,1
"2 - 6",-1.04269273678628,1
"3 - 6",1.13787835252556,1
"4 - 6",0.6452553756653,1
"5 - 6",0.367993796501927,1
"1 - 7",-2.95309347275854,0.0440449358063626
"2 - 7",-3.9376729286504,0.00115185889689876
"3 - 7",-1.6535956583879,1
"4 - 7",-1.92960494821263,0.751181273503623
"5 - 7",-2.44366686479267,0.203543823371464
"6 - 7",-2.64543095684035,0.114221708837207
"1 - 8",-0.788954911402404,1
"2 - 8",-1.59711661839321,1
"3 - 8",0.587959841668179,1
"4 - 8",0.135942318255218,1
"5 - 8",-0.180575535458038,1
"6 - 8",-0.51809575376885,1
"7 - 8",2.11100079091502,0.486811414328241
