"Comparison","Z","P.adjusted"
"Aiston Preserve - Arroyo Beach",-1.35238815349459,1
"Aiston Preserve - Blair Waterway",-1.00522369739583,1
"Arroyo Beach - Blair Waterway",0.292789339579018,1
"Aiston Preserve - Blair Waterway #2",-1.27669311078258,1
"Arroyo Beach - Blair Waterway #2",0.00663545245504867,1
"Blair Waterway - Blair Waterway #2",-0.271469413386742,1
"Aiston Preserve - Brackenwood Ln",-0.991453509760275,1
"Arroyo Beach - Brackenwood Ln",0.307304391824437,1
"Blair Waterway - Brackenwood Ln",0.0137701876355594,1
"Blair Waterway #2 - Brackenwood Ln",0.285239601022301,1
"Aiston Preserve - Broad Spit (Fisherman's Point)",-1.14292557375143,1
"Arroyo Beach - Broad Spit (Fisherman's Point)",0.147638817124831,1
"Blair Waterway - Broad Spit (Fisherman's Point)",-0.137701876355594,1
"Blair Waterway #2 - Broad Spit (Fisherman's Point)",0.133767537031148,1
"Brackenwood Ln - Broad Spit (Fisherman's Point)",-0.151472063991153,1
"Aiston Preserve - Browns Point Lighthouse",0.182946778586717,1
"Arroyo Beach - Browns Point Lighthouse",1.54523099046944,1
"Blair Waterway - Browns Point Lighthouse",1.18817047598255,1
"Blair Waterway #2 - Browns Point Lighthouse",1.45963988936929,1
"Brackenwood Ln - Browns Point Lighthouse",1.17440028834699,1
"Broad Spit (Fisherman's Point) - Browns Point Lighthouse",1.32587235233815,1
"Aiston Preserve - Cap Sante",-2.21700020932506,1
"Arroyo Beach - Cap Sante",-0.984535258017832,1
"Blair Waterway - Cap Sante",-1.21177651192923,1
"Blair Waterway #2 - Cap Sante",-0.940307098542483,1
"Brackenwood Ln - Cap Sante",-1.22554669956478,1
"Broad Spit (Fisherman's Point) - Cap Sante",-1.07407463557363,1
"Browns Point Lighthouse - Cap Sante",-2.39994698791178,1
"Aiston Preserve - Chambers Bay Park",-2.1422477621606,1
"Arroyo Beach - Chambers Bay Park",-0.90573926011413,1
"Blair Waterway - Chambers Bay Park",-1.13702406476476,1
"Blair Waterway #2 - Chambers Bay Park",-0.865554651378018,1
"Brackenwood Ln - Chambers Bay Park",-1.15079425240032,1
"Broad Spit (Fisherman's Point) - Chambers Bay Park",-0.999322188409166,1
"Browns Point Lighthouse - Chambers Bay Park",-2.32519454074731,1
"Cap Sante - Chambers Bay Park",0.0747524471644652,1
"Aiston Preserve - Cherry Point Aquatic Reserve, Conoco Phillips",-0.222290171831173,1
"Arroyo Beach - Cherry Point Aquatic Reserve, Conoco Phillips",1.11807373867568,1
"Blair Waterway - Cherry Point Aquatic Reserve, Conoco Phillips",0.782933525564662,1
"Blair Waterway #2 - Cherry Point Aquatic Reserve, Conoco Phillips",1.0544029389514,1
"Brackenwood Ln - Cherry Point Aquatic Reserve, Conoco Phillips",0.769163337929103,1
"Broad Spit (Fisherman's Point) - Cherry Point Aquatic Reserve, Conoco Phillips",0.920635401920256,1
"Browns Point Lighthouse - Cherry Point Aquatic Reserve, Conoco Phillips",-0.40523695041789,1
"Cap Sante - Cherry Point Aquatic Reserve, Conoco Phillips",1.99471003749389,1
"Chambers Bay Park - Cherry Point Aquatic Reserve, Conoco Phillips",1.91995759032942,1
"Aiston Preserve - Chimacum Creek delta",0.417039968391227,1
"Arroyo Beach - Chimacum Creek delta",1.79198687864156,1
"Blair Waterway - Chimacum Creek delta",1.42226366578706,1
"Blair Waterway #2 - Chimacum Creek delta",1.6937330791738,1
"Brackenwood Ln - Chimacum Creek delta",1.4084934781515,1
