"Comparison","Z","P.adjusted"
"Aiston Preserve - Arroyo Beach",-1.36556578671421,1
"Aiston Preserve - Blair Waterway",-1.01501856963997,1
"Arroyo Beach - Blair Waterway",0.295642270904702,1
"Aiston Preserve - Blair Waterway #2",-1.28913317357405,1
"Arroyo Beach - Blair Waterway #2",0.00670010812248625,1
"Blair Waterway - Blair Waterway #2",-0.274114603934081,1
"Aiston Preserve - Brackenwood Ln",-1.00111420567229,1
"Arroyo Beach - Brackenwood Ln",0.31029875742264,1
"Blair Waterway - Brackenwood Ln",0.0139043639676708,1
"Blair Waterway #2 - Brackenwood Ln",0.288018967901751,1
"Aiston Preserve - Broad Spit (Fisherman's Point)",-1.15406220931667,1
"Arroyo Beach - Broad Spit (Fisherman's Point)",0.149077405725317,1
"Blair Waterway - Broad Spit (Fisherman's Point)",-0.139043639676708,1
"Blair Waterway #2 - Broad Spit (Fisherman's Point)",0.135070964257373,1
"Brackenwood Ln - Broad Spit (Fisherman's Point)",-0.152948003644378,1
"Aiston Preserve - Browns Point Lighthouse",0.184729406999054,1
"Arroyo Beach - Browns Point Lighthouse",1.56028767902396,1
"Blair Waterway - Browns Point Lighthouse",1.19974797663902,1
"Blair Waterway #2 - Browns Point Lighthouse",1.4738625805731,1
"Brackenwood Ln - Browns Point Lighthouse",1.18584361267135,1
"Broad Spit (Fisherman's Point) - Browns Point Lighthouse",1.33879161631573,1
"Aiston Preserve - Cap Sante",-1.73294287383196,1
"Arroyo Beach - Cap Sante",-0.558002768133315,1
"Blair Waterway - Cap Sante",-0.793218280416891,1
"Blair Waterway #2 - Cap Sante",-0.539437470453527,1
"Brackenwood Ln - Cap Sante",-0.806091220052714,1
"Broad Spit (Fisherman's Point) - Cap Sante",-0.664488884058663,1
"Browns Point Lighthouse - Cap Sante",-1.90396907185074,1
"Aiston Preserve - Chambers Bay Park",-2.16312176582764,1
"Arroyo Beach - Chambers Bay Park",-0.91456475871936,1
"Blair Waterway - Chambers Bay Park",-1.14810319618767,1
"Blair Waterway #2 - Chambers Bay Park",-0.87398859225359,1
"Brackenwood Ln - Chambers Bay Park",-1.16200756015534,1
"Broad Spit (Fisherman's Point) - Chambers Bay Park",-1.00905955651096,1
"Browns Point Lighthouse - Chambers Bay Park",-2.34785117282669,1
"Cap Sante - Chambers Bay Park",-0.269718735226764,1
"Aiston Preserve - Cherry Point Aquatic Reserve, Conoco Phillips",-0.224456161192399,1
"Arroyo Beach - Cherry Point Aquatic Reserve, Conoco Phillips",1.12896821863892,1
"Blair Waterway - Cherry Point Aquatic Reserve, Conoco Phillips",0.790562408447566,1
"Blair Waterway #2 - Cherry Point Aquatic Reserve, Conoco Phillips",1.06467701238165,1
"Brackenwood Ln - Cherry Point Aquatic Reserve, Conoco Phillips",0.776658044479895,1
"Broad Spit (Fisherman's Point) - Cherry Point Aquatic Reserve, Conoco Phillips",0.929606048124273,1
"Browns Point Lighthouse - Cherry Point Aquatic Reserve, Conoco Phillips",-0.409185568191454,1
"Cap Sante - Cherry Point Aquatic Reserve, Conoco Phillips",1.52513684828225,1
"Chambers Bay Park - Cherry Point Aquatic Reserve, Conoco Phillips",1.93866560463524,1
"Aiston Preserve - Chimacum Creek delta",0.421103594449457,1
"Arroyo Beach - Chimacum Creek delta",1.80944794982892,1
"Blair Waterway - Chimacum Creek delta",1.43612216408942,1
"Blair Waterway #2 - Chimacum Creek delta",1.7102367680235,1
"Brackenwood Ln - Chimacum Creek delta",1.42221780012175,1
