"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"3","4",4.12957841394739,0,5e-04,"Yes","a","c"
"3","5",3.70548695807196,2e-04,0.0016,"Yes","a","bc"
"2","4",3.29942528654544,0.001,0.0048,"Yes","a","c"
"3","6",3.21999483807172,0.0013,0.0048,"Yes","a","bc"
"1","4",2.8424264278111,0.0045,0.0134,"Yes","ab","c"
"2","5",2.7528376356104,0.0059,0.0148,"Yes","a","bc"
"2","6",2.28046440744285,0.0226,0.0484,"Yes","a","bc"
"1","5",2.19996605385689,0.0278,0.0521,"No","ab","bc"
"1","3",-1.98138301515977,0.0475,0.0792,"No","ab","a"
"1","6",1.76490419632024,0.0776,0.1164,"No","ab","bc"
"2","3",-1.28416164372796,0.1991,0.2715,"No","a","a"
"4","5",-1.04446020328853,0.2963,0.3703,"No","c","bc"
"4","6",-0.869556579774895,0.3845,0.4437,"No","c","bc"
"1","2",-0.733451310223384,0.4633,0.4964,"No","ab","a"
"5","6",0.00871021760563981,0.9931,0.9931,"No","bc","bc"
