"","Aiston Preserve.1","Broad Spit (Fisherman's Point).1","Cap Sante.1","Eld Inlet.1","Filucy Bay.1","Hood Canal Holly.1","Jamestown.1","Kopachuck State Park.1","Locust Beach.1","Maristone Island.1","Meyer's Point - Henderson Inlet.1","North Camano.1","Oak Bay County Park.1","Penn Cove Reference.1","Chambers Bay Park.2","Chimacum Creek delta.2","Chuckanut, Clark's Point.2","Discovery Bay.2","Lions Park.2","Madrona Pont.2","Maple Hollow Park.2","Miller Creek.2","Minter Bay.2","Pennrose Point State Park.2","Purdy - Dexters.2","Purdy, Burley Lagoon.2","Raft Island Park.2","Reach Island.2","Squaxin Island.2","Arroyo Beach.3","Brackenwood Ln.3","Browns Point Lighthouse.3","Cherry Point Aquatic Reserve, Conoco Phillips.3","Everett Harbor.3","Fidalgo Bay Aq Reserve, Weaverling Spit.3","Kingston Marina.3","Manchester, Stormwater Outfall.3","Rich Passage.3","Rocky Point.3","S of Skunk Island.3","Silverdale, Dyes Inlet.3","Three Tree Point.3","Tulalip Reservation.3","West Bay Park.3","Williams Olson Park.3","Blair Waterway.4","Blair Waterway #2.4","Comm Bay, Milwaukee Waterway.4","Donkey Creek Delta.4","Eastsound, Fishing Bay.4","Edmonds Ferry.4","Gig Harbor Boat Launch.4","Kitsap St Boat Launch.4","Mukilteo.4","Salmon Beach.4","Skiff Point.4","Suquamish Stormwater Outfall.4","Tulalip Bay.4","Comm Bay Skookum.5","Comm Bay, Dick Gilmur Launch.5","Des Moines Marina.5","Eagle Harbor Dr.5","Edmonds Marina.5","Elliot Bay Myrtle Edwards.5","Elliott Bay, Harbor Island, Pier 17.5","Friday Harbor.5","N Avenue Park.5","Point Defiance Ferry.5","Port Angeles Yacht Club.5","Salmon Bay, Commodore Park.5","Seattle Aquarium, Pier 59.5","Shilshole Bay.5","Smith Cove, Terminal 91.5"
"Broad Spit (Fisherman's Point).1",0.666115504682622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cap Sante.1",0.487680555555556,0.610413348946136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eld Inlet.1",0.487680555555556,0.762951029098652,0.804373040752351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Filucy Bay.1",0.881793068809643,0.840907126168224,0.554170689655172,0.559908789386401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hood Canal Holly.1",0.857090124123044,0.551123161764706,0.487680555555556,0.487680555555556,0.705432077125329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jamestown.1",0.516367647058824,0.934189331001312,0.52595537525355,0.625690366972477,0.625690366972477,0.487680555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kopachuck State Park.1",0.851206013363029,0.765033933518006,0.487680555555556,0.506026763990268,1,0.606014475271411,0.567845089903181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Locust Beach.1",0.738973037272006,0.915338888888889,0.559908789386401,0.567845089903181,0.913176890156919,0.487680555555556,0.764185365853659,0.858949759486905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maristone Island.1",0.771194612794613,0.874543734015345,0.487680555555556,0.567845089903181,0.933094256904866,0.554170689655172,0.762951029098652,0.901210423770093,0.968428863450531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Meyer's Point - Henderson Inlet.1",0.526238568588469,0.674591219512195,0.915338888888889,0.762951029098652,0.554170689655172,0.487680555555556,0.487680555555556,0.516615384615385,0.567845089903181,0.487680555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
