"Comparison","Z","P.unadj","P.adj"
"1 - 2",-3.448583000897,0.000563536244098739,0.00281768122049369
"1 - 3",-2.13903799895495,0.0324325910307902,0.0810814775769754
"2 - 3",1.0729354421996,0.283300082623444,0.472166804372406
"1 - 4",-3.01554795974542,0.00256515368130308,0.00855051227101025
"2 - 4",0.426469900581298,0.669765476131788,0.669765476131788
"3 - 4",-0.675554727435708,0.499323393531329,0.624154241914161
"1 - 5",-3.68892851179727,0.000225200480143054,0.00225200480143054
"2 - 5",-0.463456788488105,0.643036981456689,0.714485534951877
"3 - 5",-1.44269535396951,0.149106308602869,0.298212617205737
"4 - 5",-0.859864754535804,0.389863599074738,0.556947998678198
