"Comparison","Z","P.unadj","P.adj"
"1 - 2",-1.29732681520681,0.19451876171292,0.24314845214115
"1 - 3",-2.52495198921472,0.0115714096528115,0.0289285241320287
"2 - 3",-1.38152705444236,0.167116965242239,0.238738521774627
"1 - 4",-2.58041394941531,0.00986819465481793,0.0328939821827264
"2 - 4",-1.40641440611513,0.159601104918082,0.266001841530137
"3 - 4",0.0177730989720878,0.985819865280507,0.985819865280507
"1 - 5",0.145993885788163,0.883926215146338,0.982140239051487
"2 - 5",1.47941220026083,0.139030181383625,0.278060362767251
"3 - 5",2.71422155557967,0.00664317204936561,0.0332158602468281
"4 - 5",2.77804729158598,0.00546866583168443,0.0546866583168443
