"Comparison","Z","P.unadj","P.adj"
"1 - 2",-0.585238316203355,0.558387484436513,0.558387484436513
"1 - 3",-2.36981759232165,0.0177968630007118,0.0444921575017795
"2 - 3",-1.86533060269269,0.0621350781239311,0.103558463539885
"1 - 4",-4.81087580794869,1.50270371460179e-06,1.50270371460179e-05
"2 - 4",-4.35970200147261,1.30239680919988e-05,6.5119840459994e-05
"3 - 4",-2.31678714932812,0.0205153294063719,0.0410306588127438
"1 - 5",-1.71836855437781,0.0857294122468893,0.122470588924128
"2 - 5",-1.16788016732422,0.242855105066423,0.303568881333029
"3 - 5",0.762545921582796,0.445734246427722,0.49526027380858
"4 - 5",3.22389343098189,0.00126460451750841,0.00421534839169471
