"Comparison","Z","P.unadj","P.adj"
"1 - 2",1.79742244788989,0.072268579678452,0.18067144919613
"1 - 3",0.392453469160153,0.694723185504972,0.694723185504972
"2 - 3",-1.4658070994944,0.142700846396801,0.237834743994669
"1 - 4",-1.67658763451923,0.0936231464576525,0.187246292915305
"2 - 4",-3.55160500389207,0.000382889181986964,0.00382889181986964
"3 - 4",-2.13039948686612,0.0331386461356109,0.11046215378537
"1 - 5",-0.97036064117367,0.331866760063693,0.414833450079616
"2 - 5",-2.97605251085079,0.00291984861524528,0.0145992430762264
"3 - 5",-1.4362156713758,0.15094098105069,0.215629972929557
"4 - 5",0.82137354615674,0.411433527024112,0.457148363360124
