"Comparison","Z","P.unadj","P.adj"
"1 - 2",-2.19654172286056,0.0280531922362715,0.140265961181358
"1 - 3",-1.48653413124251,0.137137895859441,0.228563159765735
"2 - 3",-0.0177747203203586,0.985818571836077,0.985818571836077
"1 - 4",-1.40554367792446,0.159859670666428,0.228370958094897
"2 - 4",0.2057686718269,0.836971613768686,1
"3 - 4",0.176335539159941,0.860030343245557,0.955589270272841
"1 - 5",-2.66624091243197,0.00767047042415416,0.0767047042415416
"2 - 5",-1.96102115644506,0.0498765549858022,0.124691387464505
"3 - 5",-1.84314281487883,0.0653081615715944,0.130616323143189
"4 - 5",-1.97109904521545,0.0487125479353467,0.162375159784489
