"Comparison","Z","P.unadj","P.adj"
"10 - 11",0.311191075039981,0.755655367525774,0.906786441030929
"10 - 12",-0.172262833397017,0.863230902172569,0.887894642234642
"11 - 12",-0.325088012769939,0.745114461090976,0.924969675837073
"10 - 13",0.944543892886931,0.344891783043861,0.539830616938217
"11 - 13",0.618901204888139,0.535981444715385,0.714641926287181
"12 - 13",0.651870262541697,0.514484870122801,0.712363666323879
"10 - 6",-3.12672084132007,0.00176767686836556,0.0127272734522321
"11 - 6",-3.26180302594725,0.00110706039276859,0.0099635435349173
"12 - 6",-1.98743282950065,0.0468744526370517,0.168748029493386
"13 - 6",-3.61568016628986,0.000299560045961833,0.003594720551542
"10 - 7",2.21148109788473,0.0270025394014248,0.138870202635899
"11 - 7",1.88712313131757,0.0591437661598937,0.177431298479681
"12 - 7",1.40366309356174,0.160419197392205,0.339711241536434
"13 - 7",1.3050589164886,0.191872786766588,0.345371016179859
"6 - 7",4.34956830167203,1.36405794253219e-05,0.000491060859311589
"10 - 8.1",-0.21825247665714,0.827232399979621,0.902435345432314
"11 - 8.1",-0.356564317457631,0.721417994337778,0.927537421291429
"12 - 8.1",-0.0488461083554032,0.961041936852058,0.961041936852058
"13 - 8.1",-0.653391948832076,0.513503627930291,0.73944522421962
"6 - 8.1",1.79669104268241,0.072384681763746,0.200449887961143
"7 - 8.1",-1.34249443483632,0.17943573361802,0.339983495276248
"10 - 8.2",1.92283923086078,0.0545002435069434,0.178364433295451
"11 - 8.2",1.68957507532968,0.0911092777022717,0.234280999805842
"12 - 8.2",1.42319371745862,0.15468000635388,0.34803001429623
"13 - 8.2",1.24572334343985,0.212865980588835,0.36491310958086
"6 - 8.2",3.96538458757106,7.32777018758212e-05,0.00131899863376478
"7 - 8.2",0.212399709025663,0.831795212763282,0.880724342925828
"8.1 - 8.2",1.3755230721838,0.168969337804241,0.337938675608481
"10 - 9",-0.758545873794455,0.448124261430389,0.672186392145583
"11 - 9",-0.966153812661398,0.33396722057933,0.54649181549345
"12 - 9",-0.306773768931494,0.759015575522905,0.881437442542728
"13 - 9",-1.42401530748656,0.154442040951862,0.37066089828447
"6 - 9",2.16213994410226,0.0306073909533092,0.122429563813237
"7 - 9",-2.40098345083752,0.0163510759589187,0.0981064557535119
"8.1 - 9",-0.225033927910766,0.821952880430914,0.924696990484779
"8.2 - 9",-2.20293007687857,0.0275996773530608,0.124198548088773
