"Comparison","Z","P.unadj","P.adj"
"Aiston Preserve - Arroyo Beach",0.0244889387843969,0.980462606641914,1
"Aiston Preserve - Blair Waterway",-0.749558057205788,0.4535209198985,0.780726580398884
"Arroyo Beach - Blair Waterway",-0.845588650967112,0.397782258886268,0.741995774345173
"Aiston Preserve - Blair Waterway #2",0.781118396456558,0.434732862953702,0.774036560868787
"Arroyo Beach - Blair Waterway #2",0.831183392858644,0.405870035031369,0.747786469726963
"Blair Waterway - Blair Waterway #2",1.53067645366235,0.125849375974181,0.536997100325848
"Aiston Preserve - Brackenwood Ln",-0.863964286989829,0.387607509408836,0.739355849515018
"Arroyo Beach - Brackenwood Ln",-0.97091439651079,0.331590908472073,0.694823152663358
"Blair Waterway - Brackenwood Ln",-0.114406229784041,0.908915775769722,0.978860251337328
"Blair Waterway #2 - Brackenwood Ln",-1.64508268344639,0.0999527611233653,0.499024783353437
"Aiston Preserve - Broad Spit (Fisherman's Point)",-0.603591488170977,0.546115273262867,0.848221594642325
"Arroyo Beach - Broad Spit (Fisherman's Point)",-0.68569028596311,0.492908433685155,0.811796145965612
"Blair Waterway - Broad Spit (Fisherman's Point)",0.145966569034811,0.883947779760192,0.978501210300114
"Blair Waterway #2 - Broad Spit (Fisherman's Point)",-1.38470988462753,0.166141195383967,0.579028862880124
"Brackenwood Ln - Broad Spit (Fisherman's Point)",0.260372798818853,0.794576222930205,0.964561967700891
"Aiston Preserve - Browns Point Lighthouse",-2.09876256017621,0.0358378367623368,0.298759250293431
"Arroyo Beach - Browns Point Lighthouse",-2.323568132896,0.0201486520434022,0.239742331141979
"Blair Waterway - Browns Point Lighthouse",-1.34920450297042,0.177271288833551,0.590394267742813
"Blair Waterway #2 - Browns Point Lighthouse",-2.87988095663276,0.00397825351510643,0.119391808270028
"Brackenwood Ln - Browns Point Lighthouse",-1.23479827318638,0.216905590211724,0.616696841223018
"Broad Spit (Fisherman's Point) - Browns Point Lighthouse",-1.49517107200523,0.134869801137799,0.551109429460205
"Aiston Preserve - Cap Sante",-0.769283269237519,0.441725167158698,0.777770323660784
"Arroyo Beach - Cap Sante",-0.867196538129815,0.385834332760231,0.739105342400981
"Blair Waterway - Cap Sante",-0.0197252120317313,0.984262578397733,1
"Blair Waterway #2 - Cap Sante",-1.55040166569408,0.121045139013983,0.538620956304397
"Brackenwood Ln - Cap Sante",0.09468101775231,0.924568195873344,0.978933240711055
"Broad Spit (Fisherman's Point) - Cap Sante",-0.165691781066543,0.868399514408509,0.975685144932355
"Browns Point Lighthouse - Cap Sante",1.32947929093869,0.183689893638983,0.593476558276187
"Aiston Preserve - Chambers Bay Park",0.552305936888475,0.580738763734148,0.872400111705191
"Arroyo Beach - Chambers Bay Park",0.580531901771288,0.561555979918597,0.865238278243086
"Blair Waterway - Chambers Bay Park",1.30186399409426,0.192962882869052,0.594290475061926
"Blair Waterway #2 - Chambers Bay Park",-0.228812459568083,0.819014682340925,0.967275320071202
"Brackenwood Ln - Chambers Bay Park",1.4162702238783,0.156696402307475,0.575050248141968
"Broad Spit (Fisherman's Point) - Chambers Bay Park",1.15589742505945,0.247723116013472,0.645226746723613
"Browns Point Lighthouse - Chambers Bay Park",2.65106849706468,0.00802375670181115,0.165436388180091
"Cap Sante - Chambers Bay Park",1.32158920612599,0.186304979610314,0.598346908356074
"Aiston Preserve - Cherry Point Aquatic Reserve, Conoco Phillips",-0.986260601586563,0.324005247871297,0.684771654538634
