"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"3","4",3.340142403581,8e-04,0.0126,"Yes","a","c"
"2","4",3.01852976844883,0.0025,0.0191,"Yes","ab","c"
"1","4",2.74208958625849,0.0061,0.0305,"Yes","ab","c"
"3","5",2.64220274798871,0.0082,0.0309,"Yes","a","bc"
"3","6",2.47003391146064,0.0135,0.0405,"Yes","a","bc"
"2","5",2.21327268561694,0.0269,0.0672,"No","ab","bc"
"2","6",2.02990703952102,0.0424,0.0908,"No","ab","bc"
"1","5",1.84635368159491,0.0648,0.1216,"No","ab","bc"
"1","6",1.6904882632558,0.0909,0.1516,"No","ab","bc"
"1","3",-1.20634319333437,0.2277,0.3105,"No","ab","a"
"4","5",-1.24407591524395,0.2135,0.3202,"No","c","bc"
"4","6",-0.849783144724531,0.3954,0.4943,"No","c","bc"
"2","3",-0.721600923649773,0.4705,0.5429,"No","ab","a"
"1","2",-0.521694611982585,0.6019,0.6449,"No","ab","ab"
"5","6",0.222484887436295,0.8239,0.8239,"No","bc","bc"
