"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"12","7",-4.30767434481252,0,6e-04,"Yes","b","a"
"7","8.1",3.96957436214339,1e-04,0.0013,"Yes","a","b"
"12","13",-3.75194084713376,2e-04,0.0021,"Yes","b","a"
"13","8.1",3.44086409754999,6e-04,0.0042,"Yes","a","b"
"10","12",3.37426904417537,7e-04,0.0044,"Yes","a","b"
"12","8.2",-3.44454130649484,6e-04,0.0051,"Yes","b","a"
"11","12",3.21617660099006,0.0013,0.0058,"Yes","a","b"
"12","9",-3.17267939897653,0.0015,0.006,"Yes","b","a"
"8.1","8.2",-3.22654076647326,0.0013,0.0064,"Yes","b","a"
"10","8.1",3.08690966874925,0.002,0.0073,"Yes","a","b"
"11","8.1",2.94957083068904,0.0032,0.0095,"Yes","a","b"
"8.1","9",-2.95084590294767,0.0032,0.0104,"Yes","b","a"
"12","6",-2.31334045017466,0.0207,0.0573,"No","b","ab"
"6","8.1",2.18240279347736,0.0291,0.0748,"No","ab","b"
"11","7",-2.13860966810397,0.0325,0.0779,"No","a","a"
"10","7",-2.00505062788853,0.045,0.0952,"No","a","a"
"6","7",-2.01448178929382,0.044,0.0989,"No","ab","a"
"7","9",1.38614415134089,0.1657,0.3314,"No","a","a"
"6","8.2",-1.23986558463072,0.215,0.387,"No","ab","a"
"13","6",1.25414346406896,0.2098,0.3975,"No","a","ab"
"13","7",-1.1669949316346,0.2432,0.4169,"No","a","a"
"11","13",-1.06259690150997,0.288,0.4712,"No","a","a"
"11","8.2",-0.992992006297131,0.3207,0.502,"No","a","a"
"10","8.2",-0.856870362948657,0.3915,0.5638,"No","a","a"
"10","13",-0.875970171342335,0.381,0.5716,"No","a","a"
"6","9",-0.780595819979898,0.435,0.6024,"No","ab","a"
"10","6",0.734029808400612,0.4629,0.6172,"No","a","ab"
"11","6",0.57630065958098,0.5644,0.6773,"No","a","ab"
"7","8.2",0.615044187745883,0.5385,0.6924,"No","a","a"
"8.2","9",0.580447684666903,0.5616,0.6972,"No","a","a"
"13","9",0.452925446486539,0.6506,0.7555,"No","a","a"
"11","9",-0.37386973199207,0.7085,0.7971,"No","a","a"
"10","11",0.239981191005399,0.8103,0.858,"No","a","a"
"10","9",-0.204371215533912,0.8381,0.862,"No","a","a"
"13","8.2",-0.260167510235273,0.7947,0.867,"No","a","a"
"12","8.1",0.0262907164123865,0.979,0.979,"No","b","b"
