"Group1","Group2","Diff","Lower","Upper","P.adj","Significant","Group1_CLD","Group2_CLD"
"2","1","-1.87073621185143","-3.45931511898768","-0.282157304715183","0.0106200416421028","Yes","a","b"
"3","1","-1.76297539527143","-3.63513359141469","0.109182800871829","0.0780211667424717","No","ab","b"
"4","1","-3.03143197449049","-4.70594117097437","-1.3569227780066","5.6344151406762e-06","No","a","b"
"5","1","-2.23046063460637","-3.62268695558544","-0.838234313627295","9.2330487887704e-05","No","a","b"
"6","1","-2.68618357616873","-4.4299736360244","-0.942393516313066","0.000199817062501384","Yes","a","b"
"3","2","0.10776081658","-1.87354518420654","2.08906681736654","0.999987091255344","No","ab","a"
"4","2","-1.16069576263906","-2.95640682137748","0.63501529609937","0.432949422871927","No","a","a"
"5","2","-0.359724422754938","-1.89559267432904","1.17614382881917","0.984913200136474","No","a","a"
"6","2","-0.815447364317302","-2.67593142235645","1.04503669372184","0.808024938608727","No","a","a"
"4","3","-1.26845657921906","-3.31930312971075","0.782389971272635","0.484275862029255","No","a","ab"
"5","3","-0.467485239334938","-2.29512980362568","1.3601593249558","0.977645547983224","No","a","ab"
"6","3","-0.923208180897302","-3.03100188460884","1.18458552281423","0.80847594458291","No","a","ab"
"5","4","0.800971339884117","-0.823617651554704","2.42556033132294","0.718575985487411","No","a","a"
"6","4","0.345248398321753","-1.58912463579775","2.27962143244126","0.995698347232771","No","a","a"
"6","5","-0.455722941562364","-2.15163335041259","1.24018746728786","0.972243411216633","No","a","a"
