"site_number","site_name","reporting_area","latitude","longitude","p450","sod","shell","ci1","ci2","ci3","length","height","width","weight_change","weight_initial","weight_final","ibr_bio","ibr_morph","ibr_combined","chlordane_index","ddt_index","hch_index","heavy_metal_index","nutrient_metal_index","total_metal_index","pah_lmw_index","pah_hmw_index","pah_add_index","total_pah_index","pbde_index","pcb_index","pesticide_index","total_con_index","cluster"
"77","Aiston Preserve","7",48.6793778,-122.6300583,0.847866067,-5.849011643,0.412795261,-0.018245357,-0.021713194,-0.134198711,-0.07245954,-0.150817343,-0.11275877,-0.354103168,-0.331024941,-0.280553132,6.993865959,1.127387361,8.12125332,0,0.913807933,0,10.11160417,1.286763023,11.39836719,1.86765393,0.005649625,2.139119284,4.012422839,0,13.19783118,0,29.52242914,1
"13","Arroyo Beach","11",47.50161,-122.38593,0.96787539,-2.779299725,0.508517553,-0.073627953,-0.081863133,-0.15543191,-0.010674119,-0.050108853,-0.053084555,-0.187387827,-0.104383952,0.062042324,4.06595583,0.940100521,5.00605635,5.496493742,1.218410577,0,6.620491767,2.414090673,9.03458244,4.965709481,2.314961583,5.363599564,12.64427063,3.024165668,16.70811458,0,48.12603764,2
"41","Blair Waterway","11",47.27568,-122.4173,1.069645831,-1.235241779,0.443443123,0.03105049,0.016546353,0.025754813,-0.03669074,-0.033416901,-0.034649686,-0.073636043,-0.089628443,-0.137628647,2.304887611,0.762578816,3.067466427,8.654466903,6.26324646,2.012647112,8.282830359,2.237846406,10.52067676,14.23481608,4.974135826,9.608021663,28.81697357,14.05814798,17.1068985,0,87.43305729,3
"42","Blair Waterway Two","11",47.2632444,-122.385731,0.97396538,-0.848228207,0.493074716,-0.060523501,-0.121024017,-0.150017864,-0.138200037,-0.139519956,-0.22184182,-0.559837405,-0.43820853,-0.187699612,2.640298581,1.552473935,4.192772516,0,9.855249892,2.012647112,4.685947408,0.763614778,5.449562187,18.92230897,8.786300782,6.576063172,34.28467292,4.95243102,17.31854006,3.46431662,77.33741981,3
"23","Brackenwood Lane","10",47.68234,-122.5064,-0.239118567,-3.128869865,0.135014958,0.050092817,-0.024215344,-0.132467414,0.060451275,-0.056384511,0.002992348,0.05732411,0.082626236,0.124154912,3.71252553,0.5344433,4.24696883,0,1.127029784,0,7.149746805,0.805973096,7.955719901,4.698216875,1.573226289,4.914909178,11.18635234,0.949046327,19.27573878,0,40.49388713,2
"30","Broad Spit","12",47.78184,-122.83474,-0.079949789,-1.038652798,0.119848324,0.031130107,0.013390815,-0.17706401,-0.012861448,-0.126613487,-0.102438061,-0.21056707,-0.222709667,-0.253924125,1.762640142,0.70836621,2.471006352,0,0,0,4.898880653,3.488904464,8.387785117,0.941057984,0.059126699,2.368014052,3.368198735,0,8.463128429,0,20.21911228,3
"54","Browns Point Lighthouse","11",47.30515,-122.44441,1.692194057,-2.282096956,0.482832058,0.12827297,-0.011282252,-0.016138002,-0.013139591,-0.094866868,-0.072498266,-0.052009259,-0.039535313,-0.016449073,4.040994149,0.819905234,4.860899383,4.414928496,4.523874106,0,7.182151453,1.791750164,8.973901617,5.24726184,2.484056677,4.140664638,11.87198316,0,16.34937702,1.520919492,47.65498389,2
"64","Cap Sante","7",48.520971,-122.600717,0.602164164,0.397814101,0.359074096,-0.02588507,-0.040385273,-0.259823796,-0.105277684,-0.259203146,-0.1858928,-0.576094204,-0.53533208,-0.458665986,2.084572725,1.493017101,3.577589826,0,3.005963896,2.138437556,7.703035218,0.989468613,8.692503831,7.813565022,3.304284261,2.201870905,13.31972019,0,13.90623614,0,41.06286161,3
"56","Chambers Bay Park","13",47.1905742,-122.5834897,1.607100703,0.084869129,0.789066354,-0.106929065,-0.151558214,-0.300932651,-0.048475059,-0.155967517,-0.137329051,-0.448502857,-0.295533904,0.010484414,2.046612325,1.616172341,3.662784667,0,0.852887404,0,7.099151142,0.74916792,7.848319061,1.391544039,0.93444923,2.578658331,4.9046516,0,11.38149971,1.013946328,26.0013041,3
"75","Cherry Point Aquatic Reserve, Conoco Phillips","7",48.8208,-122.7101,0.847157948,-2.055454325,0.508169283,0.049397463,-0.100470934,-0.192520477,-0.08512171,-0.175739331,-0.238947779,-0.45034229,-0.349113008,-0.13666493,2.902612273,1.495792842,4.398405115,0,1.005188726,1.761066223,6.704010387,1.323529208,8.027539595,3.203084453,3.015825558,2.457858943,8.676768954,0,13.35134807,0,32.82191157,2
"8","Chimacum Creek delta","9",48.04906,-122.7724,0.333181042,-4.545654227,0.562940227,-0.064410983,-0.150323221,-0.150472468,-0.053924075,-0.036482998,-0.150057009,-0.304629859,-0.153199017,0.139309332,4.979870739,1.273030949,6.252901688,0,0,0,7.067089176,9.658848982,16.72593816,2.480227112,0.393581118,2.750401215,5.624209445,0,17.22049271,0,39.57064032,2
"74","Chuckanut, Clark's Point","7",48.68975,-122.50434,0.242476201,-0.250348838,0.212209897,0.013885782,-0.028876674,-0.083709739,-0.039570543,-0.064600205,-0.10850992,-0.198638052,-0.168433773,-0.108532578,1.634552516,0.948975094,2.58352761,0,2.70902694,0,8.991669663,2.709440795,11.70111046,3.339112525,0.667355314,5.199915646,9.206383485,0,16.02104717,0,39.63756806,3
"45","Commencement Bay Skookum","11",47.29,-122.41,1.508762665,-0.401355539,0.308131942,-0.033130811,-0.076656332,-0.118484086,-0.110533989,-0.157945969,-0.155678117,-0.457091803,-0.379689509,-0.211885369,2.274540177,1.189381819,3.463921996,9.163160314,18.48282344,0,8.071072634,0.902405121,8.973477755,10.91991471,4.415327323,6.075471698,21.41071373,5.980601374,31.77520869,2.112388183,97.89837349,3
"48","Commencement Bay, Dick Gilmur Launch","11",47.292549,-122.412175,0.789774781,0.086434538,0.441809756,0.042792062,0.008522054,-0.140287936,0.03392878,-0.056762226,-0.060528876,-0.040481948,-0.048626005,-0.077076953,1.5431623,0.856205491,2.399367791,8.071134522,16.13265701,0,10.36687348,1.84167599,12.20854947,11.22040322,4.210887135,4.279995521,19.71128588,8.362130045,45.59350654,1.605415019,111.6846785,3
"49","Commencement Bay, Milwaukee Waterway","11",47.2694,-122.4243,1.686850849,-2.581698221,0.431690592,0.092392119,-0.063949796,-0.108243564,-0.090652359,-0.22005727,-0.161024934,-0.379193231,-0.314618899,-0.178589212,4.683419165,1.293380459,5.976799624,10.87012993,3.69043959,0,10.18437232,2.711684933,12.89605726,10.31302099,3.010031502,4.694796636,18.01784913,4.85678793,26.16235632,0,76.49362016,2
"21","Des Moines Marina","11",47.40301418,-122.3305538,1.865289825,-0.653759032,0.707931391,-0.058293663,-0.107889768,-0.23373842,-0.024700211,-0.151255813,-0.070348053,-0.304475465,-0.195932927,0.032064783,3.044934368,1.262972505,4.307906872,2.304188196,13.28966143,0,7.545278719,1.215321411,8.76060013,131.6057424,91.87726251,58.5246115,282.0076164,0,15.8201363,1.520919492,323.7031219,3
"12","Discovery Bay","6",48.064957,-122.857524,0.776495727,-0.899509412,0.385687863,0.021119793,-0.042317341,0.021938536,-0.023346452,-0.044489747,0.002147859,-0.044334454,-0.001148047,0.096358006,2.572494872,0.749517757,3.322012629,0,0.670125818,0,5.037097613,1.731223884,6.768321497,5.512939392,1.083096793,4.451441862,11.04747805,0,19.11641045,0,37.60233582,3
"44","Donkey Creek Delta","11",47.33775,-122.59014,0.718920967,-5.026790001,0.267014422,0.044624281,0.016310298,-0.147671105,0.013696975,-0.124467304,-0.034681215,-0.10057176,-0.115735453,-0.155577931,5.811225325,0.581264106,6.392489431,0,1.187950313,0,5.880493251,6.008509269,11.88900252,3.317907384,4.882011285,2.540283678,10.74020235,0.642001927,30.25764743,0,54.71680454,1
"31","Eagle Harbor Dr","10",47.61889,-122.5275,-0.265611773,-0.229322065,0.551976651,0.401174115,-0.004219367,0.007644141,-0.088095896,-0.336683557,-0.228535006,-0.251971106,-0.246680697,-0.237977406,1.548772886,1.490070833,3.038843718,0,1.856249477,0,8.375062562,4.667536158,13.04259872,5.866159193,10.83733451,2.976947376,19.68044108,0.865306945,21.15314861,0,56.59774483,3
"60","Eastsound, Fishing Bay","7",48.69368,-122.90985,-0.218944867,-3.039132328,-0.409836478,-0.047601208,-0.039331935,-0.217385948,-0.092036197,-0.170153708,-0.186755654,-0.496476435,-0.455967384,-0.365506093,4.809115088,1.355258472,6.16437356,0,0.761506611,0,6.953698357,1.708637575,8.662335932,5.384855666,2.605629344,4.249163265,12.23964828,1.825747338,18.88337168,0,42.37260984,2
"69","Edmonds Ferry","9",47.81407,-122.3825,1.793793375,-9.941205183,0.119619615,0.198930759,-0.001328584,-0.016585457,-0.054179058,-0.109827419,-0.207159729,-0.172029406,-0.169717594,-0.165433736,11.73499856,1.060317892,12.79531645,0,1.187950313,0,7.609835758,2.220439367,9.830275125,5.360383189,2.739010908,6.342332139,14.44172624,2.940426286,16.41302245,0,44.81340041,1
"68","Edmonds Marina","9",47.8111,-122.388,2.035497419,0.27488573,0.32034493,0.030698534,-0.014720659,-0.160965336,-0.056113763,-0.191533754,-0.107467216,-0.32424498,-0.308588889,-0.276862023,2.596138596,1.001280414,3.59741901,0,1.705590193,1.257904445,9.656471984,2.223556528,11.88002851,6.600606766,4.587933111,4.765667523,15.9542074,7.657255506,14.50623998,0,52.96122603,3
"72","Eld Inlet","13",47.074603,-123.003527,1.578757386,-0.117762896,0.211746325,0.014906595,0.02384101,0.112788062,-0.011956563,0.017754899,0.059495964,0.080372217,0.05736359,-0.002574387,2.374083292,0.885283347,3.259366639,0,0.82242714,0,6.51458531,1.473348363,7.987933672,5.416892734,1.358354989,3.366026298,10.14127402,0,18.0237737,0,36.97540853,3
"19","Elliot Bay Myrtle Edwards","10",47.61862,-122.36108,0.21684418,-0.023850199,0.423995986,0.067333697,-0.018425644,0.012863258,-0.044143171,-0.040850388,-0.097694815,-0.115199431,-0.095402051,-0.051910347,0.991091661,1.024964349,2.016056011,0,9.944067469,0,8.991998361,0.861932291,9.853930652,61.59620522,101.0506419,26.01950621,188.6663533,2.935397503,78.90394768,1.605415019,291.9091116,3
"14","Elliott Bay, Harbor Island, Pier 17","10",47.58766,-122.35065,2.134003558,-1.709515506,0.476669922,0.033707987,-0.107370039,-0.308057612,0.014055665,-0.147253839,-0.16177505,-0.261138703,-0.152022262,0.076821539,4.014006559,1.144988094,5.158994653,0,5.81217481,2.264228001,7.300417372,2.914790739,10.21520811,24.2218838,36.69961383,11.33984342,72.26134105,2.478729901,60.32640779,1.858901601,155.2169913,2
"66","Everett Harbor","8.2",47.9726,-122.22977,1.426502499,-6.614457724,0.344787117,0.034550613,-0.096869378,-0.230900414,-0.101785998,-0.251814147,-0.211904906,-0.530743726,-0.432446516,-0.226776947,8.040960223,1.441035894,9.481996117,0,0.852887404,0,10.28572548,2.886513722,13.1722392,3.161237568,1.630645605,3.358995499,8.150878672,0.781567563,15.29874746,0,38.2563203,1
"63","Fidalgo Bay Aq Reserve, Weaverling Spit","7",48.482448,-122.583879,0.55001603,0.085373305,0.329160282,0.151416283,0.016668083,-0.063755969,-0.056142922,-0.126719096,-0.198796155,-0.230041099,-0.245518142,-0.287481752,1.184873185,0.940859554,2.125732739,0,5.668563224,0,8.786569989,1.839435431,10.62600542,14.28027157,8.216801955,3.024586721,25.52166025,0,24.96413001,0,66.7803589,3
"59","Filucy Bay","13",47.19483,-122.748665,2.358743922,-1.786012207,0.485818516,0.110758489,-0.110815828,-0.349789691,0.002753603,-0.156528331,-0.289880467,-0.332662472,-0.220531425,0.00458797,4.153802698,1.426755723,5.580558421,0,0.82242714,0,9.170008679,1.250617512,10.42062619,1.381658221,0.33148792,2.469810684,4.182956825,0,16.81732844,0,32.2433386,2
"61","Friday Harbor","7",48.5069444,-123.0194444,1.366464946,-5.030476619,0.292662994,-0.060711759,-0.071026057,-0.358218195,-0.049254821,-0.186994867,-0.212712473,-0.509455714,-0.438053218,-0.314343704,6.834200409,1.276234662,8.110435071,0,0.639665553,0,7.411514015,1.770621602,9.182135617,6.073490924,2.379780714,3.697571174,12.15084281,0,20.34464668,0,42.31729066,1
"58","Gig Harbor Boat Launch","11",47.33785,-122.58277,0.729625331,0.246476235,0.662522233,-0.142686792,-0.168362251,-0.141894504,-0.102023189,-0.123075664,-0.079689361,-0.447224199,-0.277605185,0.053787256,1.659022759,1.422542913,3.081565671,0,1.035648991,0,7.898132251,2.437937698,10.33606995,2.78210724,3.727344365,3.170756869,9.680208474,0,21.76587189,0,42.81779931,3
"29","Hood Canal Holly","12",47.5706,-122.9717,-0.944824568,-10.03953782,0.152765787,0.036923337,-0.02886221,-0.072077722,0.016668348,-0.027560258,-0.048902429,-0.022675043,0.00728538,0.073043032,11.36563883,0.42132461,11.78696344,0,0,0,4.383534424,1.673693635,6.057228059,2.845569566,0.045875216,5.735440409,8.626885191,0,15.30555999,0,29.98967324,1
"2","Jamestown","6",48.024789,-122.998135,0.588332509,-0.489410414,-0.089962561,0.008861546,-0.000995162,-0.082917875,-0.049391482,-0.106287387,-0.082354432,-0.228923781,-0.227163107,-0.229732019,1.16266449,0.715249122,1.877913612,0,0,0,7.739782859,1.345817222,9.085600081,2.277632043,0.040423786,2.139119284,4.457175113,0,24.03857658,0,37.58135177,3
"36","Kingston Marina","10",47.794695,-122.499858,1.275955679,-1.520007178,0.415800518,-0.101819763,-0.145403299,-0.261001157,0.004925799,-0.03483373,-0.114458822,-0.246134674,-0.099570943,0.191906735,2.795962857,0.976987948,3.772950805,0,0.883347669,0,10.49679076,1.59646523,12.09325599,1.302350026,0.778271513,2.826775496,4.907397035,0.725741309,9.083836439,0,27.69357844,2
