"","site_number","cluster_raw_p450","cluster_raw_sod","cluster_raw_shell","cluster_raw_ci","cluster_raw_ibr_bio","cluster_raw_ibr_morph","cluster_raw_ibr_combined","cluster_raw_chlordane_index","cluster_raw_ddt_index","cluster_raw_hch_index","cluster_raw_total_metal_index","cluster_raw_pah_lmw_index","cluster_raw_pah_hmw_index","cluster_raw_pah_add_index","cluster_raw_total_pah_index","cluster_raw_pbde_index","cluster_raw_pcb_index","cluster_raw_pesticide_index","cluster_raw_total_con_index","cluster_bh_p450","cluster_bh_sod","cluster_bh_shell","cluster_bh_ci","cluster_bh_ibr_bio","cluster_bh_ibr_morph","cluster_bh_ibr_combined","cluster_bh_chlordane_index","cluster_bh_ddt_index","cluster_bh_hch_index","cluster_bh_total_metal_index","cluster_bh_pah_lmw_index","cluster_bh_pah_hmw_index","cluster_bh_pah_add_index","cluster_bh_total_pah_index","cluster_bh_pbde_index","cluster_bh_pcb_index","cluster_bh_pesticide_index","cluster_bh_total_con_index"
"1",77,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"2",13,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","LH","LH","HH","LH","NotSig","LH","NotSig","LH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","LH","LH","HH","LH","NotSig","LH","NotSig","LH"
"3",41,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","HH","HH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","HH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","HH","HH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","HH","NotSig","NotSig","NotSig"
"4",42,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","LH","HH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","HH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","LH","HH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","HH","NotSig","NotSig","NotSig"
"5",23,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","LH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"6",30,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"7",54,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","HH","HH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","LH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","HH","HH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","LH","NotSig","NotSig","NotSig"
"8",64,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"9",56,"NotSig","NotSig","NotSig","NotSig","NotSig","HH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"10",75,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"11",8,"NotSig","NotSig","NotSig","NotSig","NotSig","HL","HL","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"12",74,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"13",45,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","HH","HH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","HH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","HH","HH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","HH","NotSig","NotSig","NotSig"
"14",48,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","HH","HH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","HH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","HH","HH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","HH","NotSig","NotSig","NotSig"
"15",49,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","HH","HH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","HH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","HH","HH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","HH","NotSig","NotSig","NotSig"
"16",21,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","HH","HH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","HH","HH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"17",12,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"18",44,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"19",31,"NotSig","NotSig","HL","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"20",60,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"21",69,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","HH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"22",68,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","HH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"23",72,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"24",19,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","LH","HH","LH","HH","NotSig","HH","NotSig","NotSig","HH","HH","HH","HH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","HH","LH","NotSig","NotSig","HH","NotSig","NotSig","NotSig","HH","HH","HH"
