"","metric","site_number","site_name","reporting_area","latitude","longitude","local_i","e_i","var_i","z_i","p_value","lag_x","quad","sig","p_adj_bh","sig_bh"
"1","p450",51,"Maple Hollow Park",13,47.30008,-122.74566,0.891810992924067,-0.0328169713767449,0.172622501313703,2.2254524602658,0.0260508791553243,1.6197455745,"HH",TRUE,0.275395008213428,FALSE
"2","p450",71,"Meyer's Point, Henderson Inlet",13,47.11795,-122.83359,-1.36654970633543,-0.0192507307594543,0.303611809581536,-2.44514517462699,0.014479384550403,1.75625148033333,"LH",TRUE,0.236107270841167,FALSE
"3","p450",62,"N Avenue Park",7,48.52108,-122.61531,-0.706585712444019,-0.0239021251081298,0.116286239935942,-2.00195954859977,0.0452890822769262,0.366031,"HL",TRUE,0.278243296954335,FALSE
"4","p450",50,"Penrose Point State Park",13,47.2619,-122.7376,0.852073850660958,0.0066656531448762,0.163471676504587,2.09095745546005,0.0365318779253721,1.62689903283333,"HH",TRUE,0.278243296954335,FALSE
"5","p450",24,"Skiff Point",10,47.66142,-122.49884,-0.100905266572887,-0.000980361003225442,0.00190430640781706,-2.28984102588452,0.0220305339480324,0.292125688333333,"HL",TRUE,0.2717099186924,FALSE
"6","p450",22,"Three Tree Point",11,47.44896,-122.372267,1.20845062307012,0.0176851372475316,0.167531925110626,2.90922592259256,0.00362324923453552,1.8289688085,"HH",TRUE,0.236107270841167,FALSE
"7","p450",67,"Tulalip Bay",8.2,48.0617,-122.2939,0.512904363987647,-0.00583396540183946,0.0463306234068726,2.40998459814997,0.0159531939757545,1.72389404133333,"HH",TRUE,0.236107270841167,FALSE
"8","p450",70,"Tulalip Reservation",8.2,48.0697859,-122.2997764,0.216129514354844,0.000230716495351846,0.00738270291885947,2.51271092373615,0.011980746196692,1.76229677233333,"HH",TRUE,0.236107270841167,FALSE
"9","p450",26,"Williams Olson Park",10,47.66586,-122.56698,0.874575751035635,-0.0278483304493799,0.133484859128424,2.46998702754359,0.0135117951912168,0.2442460775,"LL",TRUE,0.236107270841167,FALSE
"10","sod",55,"Minter Bay",13,47.3539722,-122.69175,-0.349393772234209,3.55915744262543e-05,0.0253069591500172,-2.19654151280525,0.0280532072532579,-4.40254147516667,"HL",TRUE,0.678170264909469,FALSE
"11","sod",67,"Tulalip Bay",8.2,48.0617,-122.2939,0.0139541777915627,-8.22301217546938e-06,2.79413774896418e-05,2.64141229074294,0.00825611811763872,-4.87948046816667,"LL",TRUE,0.455313584074175,FALSE
"12","sod",70,"Tulalip Reservation",8.2,48.0697859,-122.2997764,0.708048950538947,0.00147662423499707,0.0796716736024044,2.50325247208253,0.0123057725425453,-4.5905238305,"LL",TRUE,0.455313584074175,FALSE
"13","shell",31,"Eagle Harbor Dr",10,47.61889,-122.5275,-0.991713880795896,-0.0177804674861942,0.159092173330827,-2.44177058877972,0.0146154309063001,0.143857259833333,"HL",TRUE,0.44211296486691,FALSE
"14","shell",16,"Salmon Bay, Commodore Park",10,47.6663,-122.4018,0.524673754142237,-0.00722935387278294,0.0644478301327195,2.09521395528822,0.0361519772721547,0.175930400333333,"LL",TRUE,0.44211296486691,FALSE
"15","shell",34,"Suquamish Stormwater Outfall",10,47.7296079,-122.5506191,-1.75386489477776,-0.0353422499469068,0.616290932791328,-2.1890837144267,0.0285907559852424,0.164970892833333,"HL",TRUE,0.44211296486691,FALSE
