"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"km4","2","ci1","a96",0.670744176651015,0.0337581369926527
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"km4","2","ci3","a98",0.648484848484848,0.0425401276844894
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"km4","4","sod","a100",0.459605911330049,0.0121308115332268
"km4","4","sod","a102",0.479802955665025,0.00844067635001577
"km4","4","sod","a104",0.492118226600985,0.00669428928497084
"km4","4","sod","a106",0.558128078817734,0.00165397767813991
"km4","4","sod","a108",0.461083743842365,0.0118215112323612
"km4","4","sod","a111",0.41576354679803,0.0248892350152774
"km4","4","sod","a116",0.452709359605911,0.0136650344355431
"km4","4","sod","a118",0.382758620689655,0.0404292649203488
"km4","4","sod","a123",0.414778325123153,0.0252690446265205
"km4","4","sod","a124",0.39064039408867,0.0361534187654056
"km4","4","sod","a80",0.539901477832512,0.00250305441619325
"km4","4","sod","a82",0.37192118226601,0.0469583886072589
"km4","4","sod","a89",0.41576354679803,0.0248892350152774
"km4","4","sod","a90",0.407389162561576,0.028270868848443
"km4","4","sod","a92",0.474384236453202,0.00932273470886802
"km4","4","sod","a94",0.387192118226601,0.0379770337581067
"km4","4","sod","a96",0.439408866995074,0.0170813524108551
"km4","4","sod","a98",0.438423645320197,0.017360239288712
NA,NA,NA,NA,NA,NA
"km4","4","ci1","a129",0.381918674168681,0.0409078017071043
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"km4","4","shell","a115",0.381081416857802,0.0413892989915428
NA,NA,NA,NA,NA,NA
"km4","1","p450","a100",-0.475384615384615,0.0163205827196773
"km4","1","p450","a105",-0.476923076923077,0.0159291128490839
"km4","1","p450","a110",-0.444615384615385,0.0259568064896145
"km4","1","p450","a115",0.468461538461538,0.0181809655867609
"km4","1","p450","a120",0.576923076923077,0.00253469578852172
"km4","1","p450","a123",-0.414615384615385,0.0393274141904965
"km4","1","p450","a125",-0.434615384615385,0.0299282217204777
"km4","1","p450","a127",-0.531538461538462,0.00624898340678737
"km4","1","p450","a130",0.473076923076923,0.01692253387675
"km4","1","p450","a81",0.485384615384615,0.0139111715968869
"km4","1","p450","a94",-0.465384615384615,0.0190615928407545
NA,NA,NA,NA,NA,NA
"km4","1","sod","a115",-0.413076923076923,0.0401374781593793
"km4","1","sod","a120",-0.500769230769231,0.0107812599803301
"km4","1","sod","a130",-0.404615384615385,0.0448315425756616
"km4","1","sod","a81",-0.403076923076923,0.0457295750034494
"km4","1","sod","a90",-0.399230769230769,0.0480365381599244
NA,NA,NA,NA,NA,NA
"km4","1","ci1","a106",-0.40177243379369,0.0465020519734738
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"km4","3","p450","a100",0.793939393939394,0.00609992331369691
"km4","3","p450","a106",0.709090909090909,0.0216659233675323
"km4","3","p450","a110",0.76969696969697,0.00922195272221593
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"km4","3","ci2","a120",-0.672727272727273,0.0330412225454377
"km4","3","ci2","a121",-0.672727272727273,0.0330412225454377
"km4","3","ci2","a93",-0.672727272727273,0.0330412225454377
NA,NA,NA,NA,NA,NA
"km4","3","ci3","a102",0.725623245649734,0.0175280564883424
"km4","3","ci3","a104",0.725623245649734,0.0175280564883424
"km4","3","ci3","a106",0.731720919982925,0.016151595363108
"km4","3","ci3","a108",0.725623245649734,0.0175280564883424
"km4","3","ci3","a111",0.689037199650588,0.0275331817003648
"km4","3","ci3","a116",0.737818594316116,0.0148522058789906
"km4","3","ci3","a118",0.725623245649734,0.0175280564883424
"km4","3","ci3","a122",0.725623245649734,0.0175280564883424
"km4","3","ci3","a123",0.70123254831697,0.0238505023296414
"km4","3","ci3","a124",0.725623245649734,0.0175280564883424
"km4","3","ci3","a127",0.798795337648026,0.00557993827338743
"km4","3","ci3","a130",0.689037199650588,0.0275331817003648
"km4","3","ci3","a80",0.725623245649734,0.0175280564883424
"km4","3","ci3","a81",0.713427896983352,0.0205214118768504
"km4","3","ci3","a82",0.725623245649734,0.0175280564883424
"km4","3","ci3","a90",0.725623245649734,0.0175280564883424
"km4","3","ci3","a92",0.725623245649734,0.0175280564883424
"km4","3","ci3","a94",0.786599988981644,0.00694995658216446
"km4","3","ci3","a96",0.725623245649734,0.0175280564883424
"km4","3","ci3","a98",0.725623245649734,0.0175280564883424
NA,NA,NA,NA,NA,NA
"km4","3","shell","a100",0.696969696969697,0.0250966758822517
"km4","3","shell","a106",0.76969696969697,0.00922195272221593
"km4","3","shell","a125",-0.806060606060606,0.00486206110196452
"km4","3","shell","a127",0.660606060606061,0.0375883775714092
"km4","3","shell","a94",0.648484848484848,0.0425401276844894
