"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"pcb","1","sod","a100",0.592857142857143,0.0198464219701813
"pcb","1","sod","a102",0.621428571428571,0.0134020067121816
"pcb","1","sod","a104",0.735714285714286,0.00176986864214435
"pcb","1","sod","a105",0.55,0.033655357815007
"pcb","1","sod","a106",0.735714285714286,0.00176986864214435
"pcb","1","sod","a108",0.621428571428571,0.0134020067121816
"pcb","1","sod","a110",0.617857142857143,0.0141039284064894
"pcb","1","sod","a111",0.657142857142857,0.00777025135866838
"pcb","1","sod","a127",0.532142857142857,0.0411585803869343
"pcb","1","sod","a89",0.625,0.0127274535112336
"pcb","1","sod","a94",0.539285714285714,0.0380216562635578
"pcb","1","sod","a96",0.553571428571429,0.0322871037701236
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"pcb","1","ci2","a124",-0.532142857142857,0.0411585803869343
"pcb","1","ci2","a125",0.55,0.033655357815007
"pcb","1","ci2","a82",-0.532142857142857,0.0411585803869343
NA,NA,NA,NA,NA,NA
"pcb","1","ci3","a98",0.567857142857143,0.0272283567088618
NA,NA,NA,NA,NA,NA
"pcb","1","shell","a99",-0.685714285714286,0.00477224522269126
NA,NA,NA,NA,NA,NA
"pcb","3","p450","a120",0.725274725274725,0.00502323765535007
"pcb","3","p450","a121",0.582417582417582,0.0367413343586542
"pcb","3","p450","a93",0.582417582417582,0.0367413343586542
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"pcb","4","shell","a104",0.5522555597041,0.0405818528918109
NA,NA,NA,NA,NA,NA
"pcb","2","p450","a118",0.555882352941176,0.0253621763206078
"pcb","2","p450","a82",0.502941176470588,0.047063140467273
"pcb","2","p450","a92",0.502941176470588,0.047063140467273
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"pcb","2","ci1","a124",0.507028219720602,0.0450139578850008
"pcb","2","ci1","a125",-0.532157898249028,0.0338461450011351
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"pcb","2","shell","a100",0.538235294117647,0.0314932282058384
"pcb","2","shell","a89",0.620588235294118,0.0103135155496776
NA,NA,NA,NA,NA,NA
"pcb","5","p450","a125",-0.544117647058823,0.0293363374813764
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"pcb","5","ci1","a115",0.571429191145149,0.0207596006828017
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
