"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"km5","4","shell","a20",0.636363636363636,0.0479117261299753
"km5","4","shell","a9",0.636363636363636,0.0479117261299753
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"km5","1","sod","a11",0.423846153846154,0.0347350418268229
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"km5","1","shell","a10",0.408924800793856,0.0423897350164912
"km5","1","shell","a13",0.402385081496118,0.0461379959224621
"km5","1","shell","a20",0.425851133093884,0.0337964323226649
"km5","1","shell","a6",0.419696103166601,0.0367437757140143
"km5","1","shell","a8",0.399692255902931,0.0477550155776854
"km5","1","shell","a9",0.425851133093884,0.0337964323226649
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"km5","3","p450","a11",0.72027972027972,0.00823976871233834
"km5","3","p450","a15",0.755244755244755,0.00450843548429436
"km5","3","p450","a20",0.58041958041958,0.0478559768420606
"km5","3","p450","a8",0.587412587412587,0.0446092964633631
"km5","3","p450","a9",0.58041958041958,0.0478559768420606
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"km5","3","ci1","a20",0.58041958041958,0.0478559768420606
"km5","3","ci1","a6",0.615384615384615,0.0331699010901059
"km5","3","ci1","a9",0.58041958041958,0.0478559768420606
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
