"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"pcb","3","p450","a10",0.824175824175824,0.000530222837597405
"pcb","3","p450","a12",0.824175824175824,0.000530222837597405
"pcb","3","p450","a13",0.873626373626374,9.52889729037842e-05
"pcb","3","p450","a14",0.824175824175824,0.000530222837597405
"pcb","3","p450","a16",0.565934065934066,0.0437925922354547
"pcb","3","p450","a17",0.824175824175824,0.000530222837597405
"pcb","3","p450","a18",0.824175824175824,0.000530222837597405
"pcb","3","p450","a19",0.873626373626374,9.52889729037842e-05
"pcb","3","p450","a20",0.802197802197802,0.000968778913924995
"pcb","3","p450","a5",0.604395604395604,0.0286727056714069
"pcb","3","p450","a6",0.78021978021978,0.00165250065744305
"pcb","3","p450","a7",0.873626373626374,9.52889729037842e-05
"pcb","3","p450","a8",0.752747252747253,0.00298223338916981
"pcb","3","p450","a9",0.802197802197802,0.000968778913924995
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"pcb","2","p450","a12",0.523529411764706,0.0374126481301493
"pcb","2","p450","a14",0.523529411764706,0.0374126481301493
"pcb","2","p450","a15",0.597058823529412,0.0146097319549812
"pcb","2","p450","a17",0.523529411764706,0.0374126481301493
"pcb","2","p450","a18",0.523529411764706,0.0374126481301493
"pcb","2","p450","a5",0.523529411764706,0.0374126481301493
NA,NA,NA,NA,NA,NA
"pcb","2","sod","a16",-0.588235294117647,0.016539722195378
NA,NA,NA,NA,NA,NA
"pcb","2","ci1","a16",0.563200442313554,0.0231072864498485
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"pcb","2","shell","a11",0.511764705882353,0.0427234481633318
"pcb","2","shell","a12",0.541176470588235,0.03040021888817
"pcb","2","shell","a13",0.538235294117647,0.0314932282058384
"pcb","2","shell","a14",0.541176470588235,0.03040021888817
"pcb","2","shell","a15",0.538235294117647,0.0314932282058384
"pcb","2","shell","a17",0.541176470588235,0.03040021888817
"pcb","2","shell","a18",0.541176470588235,0.03040021888817
"pcb","2","shell","a19",0.547058823529412,0.0283010872421088
"pcb","2","shell","a5",0.541176470588235,0.03040021888817
"pcb","2","shell","a7",0.547058823529412,0.0283010872421088
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
