"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"reporting_area","7","sod","a13",-0.666666666666667,0.0498672305688852
"reporting_area","7","sod","a6",-0.666666666666667,0.0498672305688852
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"reporting_area","7","shell","a12",0.683333333333333,0.0424422720870723
"reporting_area","7","shell","a14",0.683333333333333,0.0424422720870723
"reporting_area","7","shell","a17",0.683333333333333,0.0424422720870723
"reporting_area","7","shell","a18",0.683333333333333,0.0424422720870723
"reporting_area","7","shell","a19",0.683333333333333,0.0424422720870723
"reporting_area","7","shell","a20",0.733333333333333,0.0245541500714697
"reporting_area","7","shell","a5",0.683333333333333,0.0424422720870723
"reporting_area","7","shell","a7",0.683333333333333,0.0424422720870723
"reporting_area","7","shell","a9",0.733333333333333,0.0245541500714697
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"reporting_area","11","ci1","a10",0.666670948941368,0.00664096522470659
"reporting_area","11","ci1","a12",0.666670948941368,0.00664096522470659
"reporting_area","11","ci1","a13",0.677423706182358,0.0055261944595193
"reporting_area","11","ci1","a14",0.666670948941368,0.00664096522470659
"reporting_area","11","ci1","a17",0.666670948941368,0.00664096522470659
"reporting_area","11","ci1","a18",0.666670948941368,0.00664096522470659
"reporting_area","11","ci1","a19",0.677423706182358,0.0055261944595193
"reporting_area","11","ci1","a20",0.670255201355031,0.0062513262005881
"reporting_area","11","ci1","a5",0.584233143427113,0.0221940637817681
"reporting_area","11","ci1","a6",0.605738657909093,0.0166995879976095
"reporting_area","11","ci1","a7",0.677423706182358,0.0055261944595193
"reporting_area","11","ci1","a8",0.666670948941368,0.00664096522470659
"reporting_area","11","ci1","a9",0.670255201355031,0.0062513262005881
NA,NA,NA,NA,NA,NA
"reporting_area","11","ci2","a5",0.603571428571429,0.0172001380687954
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"reporting_area","10","shell","a10",0.479157571357844,0.0379206988408449
"reporting_area","10","shell","a12",0.488810929022563,0.0336915781620442
"reporting_area","10","shell","a13",0.50460733247392,0.027570809598783
"reporting_area","10","shell","a14",0.488810929022563,0.0336915781620442
"reporting_area","10","shell","a17",0.488810929022563,0.0336915781620442
"reporting_area","10","shell","a18",0.488810929022563,0.0336915781620442
"reporting_area","10","shell","a19",0.488810929022563,0.0336915781620442
"reporting_area","10","shell","a20",0.510750378260559,0.0254407402472845
"reporting_area","10","shell","a5",0.465993901815046,0.0443343795529052
"reporting_area","10","shell","a6",0.535322561407115,0.0181785254320805
"reporting_area","10","shell","a7",0.488810929022563,0.0336915781620442
"reporting_area","10","shell","a8",0.479157571357844,0.0379206988408449
"reporting_area","10","shell","a9",0.510750378260559,0.0254407402472845
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"reporting_area","13","shell","a10",0.543454674290489,0.044582294662733
"reporting_area","13","shell","a12",0.543454674290489,0.044582294662733
"reporting_area","13","shell","a13",0.543454674290489,0.044582294662733
"reporting_area","13","shell","a14",0.543454674290489,0.044582294662733
"reporting_area","13","shell","a16",0.554455781057503,0.03962437997285
"reporting_area","13","shell","a17",0.543454674290489,0.044582294662733
"reporting_area","13","shell","a18",0.543454674290489,0.044582294662733
"reporting_area","13","shell","a19",0.543454674290489,0.044582294662733
"reporting_area","13","shell","a5",0.543454674290489,0.044582294662733
"reporting_area","13","shell","a6",0.576457994591531,0.03094108047072
"reporting_area","13","shell","a7",0.543454674290489,0.044582294662733
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
