"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc4","4","ci1","sum40CB",0.829283709313982,0.00300758630368181
"hc4","4","ci1","sumDDT",0.640255804985059,0.0461402181935044
"hc4","4","ci1","sumPCB",0.640255804985059,0.0461402181935044
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc4","4","shell","sum40CB",0.793939393939394,0.00609992331369691
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc4","1","sod","hmwPAH",0.378629032258064,0.0356934164966487
"hc4","1","sod","lmwPAH",0.365725806451613,0.0430422157383916
"hc4","1","sod","sum40CB",0.395967741935484,0.0274490570490813
"hc4","1","sod","sum42PAH",0.425403225806452,0.017041977776892
"hc4","1","sod","sumPAH",0.425403225806452,0.017041977776892
"hc4","1","sod","sumPCB",0.381048387096774,0.0344356459684714
NA,NA,NA,NA,NA,NA
"hc4","1","ci1","hmwPAH",-0.393780804650084,0.0283939474339405
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc4","1","shell","hmwPAH",0.356761133597476,0.0488260424325075
"hc4","1","shell","sum16PAH",0.363618046283917,0.0443501299902704
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc4","2","sod","sum40CB",0.463846153846154,0.019514767792475
"hc4","2","sod","sumBDE",0.425384615384615,0.0340130010967161
"hc4","2","sod","sumDDT",0.489230769230769,0.0130661791279865
"hc4","2","sod","sumPCB",0.457692307692308,0.0214160549258331
NA,NA,NA,NA,NA,NA
"hc4","2","ci1","hmwPAH",0.504339351468575,0.0101454176418256
"hc4","2","ci1","lmwPAH",0.492771935150489,0.0123260512601555
"hc4","2","ci1","sum16PAH",0.500097965485277,0.0109044244127317
"hc4","2","ci1","sum42PAH",0.521304895401769,0.00753324719578741
"hc4","2","ci1","sumPAH",0.518991412138152,0.00785225073540641
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc4","3","p450","lmwPAH",0.80952380952381,0.0149026676862301
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc4","3","ci3","hmwPAH",0.738095238095238,0.0365527610528609
"hc4","3","ci3","sum16PAH",0.738095238095238,0.0365527610528609
"hc4","3","ci3","sum42PAH",0.738095238095238,0.0365527610528609
"hc4","3","ci3","sumPAH",0.738095238095238,0.0365527610528609
NA,NA,NA,NA,NA,NA
"hc4","3","shell","hmwPAH",0.761904761904762,0.0280049391530719
"hc4","3","shell","sum16PAH",0.761904761904762,0.0280049391530719
"hc4","3","shell","sum42PAH",0.761904761904762,0.0280049391530719
"hc4","3","shell","sumPAH",0.761904761904762,0.0280049391530719
