"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
"plmw","1","p450","hmwPAH",0.554945054945055,0.0490044955983309
"plmw","1","p450","sum42PAH",0.659340659340659,0.0142255785114567
"plmw","1","p450","sumDDT",0.653846153846154,0.0153485167321055
"plmw","1","p450","sumPAH",0.659340659340659,0.0142255785114567
NA,NA,NA,NA,NA,NA
"plmw","1","sod","sumDDT",-0.653846153846154,0.0153485167321055
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"plmw","1","ci2","sumBDE",-0.598901098901099,0.0305541141729377
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"plmw","1","shell","hmwPAH",0.574966156035362,0.0398180738875862
"plmw","1","shell","sum16PAH",0.638239943541646,0.018901658582041
"plmw","1","shell","sumBDE",0.660248217456875,0.014046214320985
"plmw","1","shell","sumHCH",0.591472361471784,0.0332396582268357
NA,NA,NA,NA,NA,NA
"plmw","3","p450","sum42PAH",-0.514285714285714,0.0498392334714206
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"plmw","3","ci1","hmwPAH",-0.759010281533892,0.00103327098970207
"plmw","3","ci1","sum16PAH",-0.591554775775815,0.0201881842891098
"plmw","3","ci1","sum42PAH",-0.647980000542124,0.00899334628924731
"plmw","3","ci1","sumPAH",-0.688023708440795,0.00457747322385771
NA,NA,NA,NA,NA,NA
"plmw","3","ci2","hmwPAH",-0.55,0.033655357815007
"plmw","3","ci2","sum42PAH",-0.567857142857143,0.0272283567088618
"plmw","3","ci2","sumDDT",0.560714285714286,0.0296764960944746
"plmw","3","ci2","sumPAH",-0.553571428571429,0.0322871037701236
NA,NA,NA,NA,NA,NA
"plmw","3","ci3","sum40CB",0.580876013897626,0.0231630546733927
"plmw","3","ci3","sum42PAH",-0.527256689537845,0.0434125636532425
"plmw","3","ci3","sumBDE",0.516532824665889,0.0486786581712773
"plmw","3","ci3","sumDDT",0.654155757189326,0.00815366459360756
"plmw","3","ci3","sumPCB",0.591599878769582,0.0201762737834632
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"plmw","5","shell","sumDDT",-0.503311394537998,0.0468747052679359
NA,NA,NA,NA,NA,NA
"plmw","4","p450","sumBDE",0.587412587412587,0.0446092964633631
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"plmw","4","ci1","lmwPAH",0.706293706293706,0.0102451939411279
"plmw","4","ci1","sum42PAH",0.657342657342657,0.020185498509854
"plmw","4","ci1","sumPAH",0.657342657342657,0.020185498509854
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"plmw","4","ci3","sum40CB",0.584939601062519,0.045739074410112
"plmw","4","ci3","sumPCB",0.658494880238045,0.0198921335249136
NA,NA,NA,NA,NA,NA
"plmw","4","shell","sum40CB",0.615384615384615,0.0331699010901059
"plmw","4","shell","sumDDT",0.615384615384615,0.0331699010901059
"plmw","4","shell","sumPCB",0.622377622377622,0.0306758950616401
NA,NA,NA,NA,NA,NA
"plmw","2","p450","hmwPAH",0.494324045407637,0.037044049807446
"plmw","2","p450","sumBDE",0.593395252837977,0.0094326152719586
NA,NA,NA,NA,NA,NA
"plmw","2","sod","sumDDT",0.47781217750258,0.0449121511882242
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
