"analyte","p.value","correlation"
"a1",0.764835503539441,0.0355423917067753
"a2",0.21746185639879,0.145933604837714
"a3",0.356188707216062,0.109373071701839
"a4",0.515761078411487,0.0771319264469949
"a5",0.227727128960024,0.142755769468098
"a6",0.370679536960747,0.106133530791065
"a7",0.46750827138125,0.0862026409971615
"a8",0.428953034604481,0.0938232753301246
"a9",0.37587044518476,0.104991978279649
"a10",0.428800733732203,0.0938541281007034
"a11",0.959504515527534,0.0060471430334444
"a12",0.410898994747015,0.0975256077995804
"a13",0.367474943459709,0.106843144514377
"a14",0.410898994747015,0.0975256077995804
"a15",0.728227060915862,-0.0412810070344317
"a16",0.763051426421598,0.0358200666419844
"a17",0.410898994747015,0.0975256077995804
"a18",0.410898994747015,0.0975256077995804
"a19",0.46750827138125,0.0862026409971615
"a20",0.37587044518476,0.104991978279649
"a21",0.599301477558309,0.0623843021103295
"a22",0.76940037438928,-0.0348327779834629
"a23",0.428039693687593,0.0940083919535974
"a24",0.665744467391954,0.051308157472541
"a25",0.756718125378646,0.036807355300506
"a26",0.220021649127782,0.145131432802666
"a27",0.638557993670935,0.0557818092064667
"a28",0.667068287651667,0.0510921880784894
"a29",0.120984674642639,0.183049487844008
"a30",0.592804714050683,0.0634950018511662
"a31",0.427887578570079,0.0940392447241762
"a32",0.422281126617869,0.0951807972355917
"a33",0.26670714187358,0.131525360977416
"a34",0.360704618739618,0.108354930272738
"a35",0.457340746887613,0.0881772183142046
"a36",0.313477666691602,0.119431074910527
"a37",0.355779916391589,0.109465630013575
"a38",0.946058227984755,0.00805257312106627
"a39",0.300825730757154,0.122578057509564
"a40",0.846051253008866,0.0230778723929409
"a41",0.428039693687593,0.0940083919535974
"a42",0.398092111311257,0.100209798839936
"a43",0.385095894163066,0.102986548192028
"a44",0.364563891900487,0.107491052696532
"a45",0.440308893885849,0.0915401703072936
"a46",0.385095894163066,0.102986548192028
"a47",0.358784477335989,0.108786869060842
"a48",0.398092111311257,0.100209798839936
"a49",0.441391808691612,0.091324200913242
"a50",0.450108981622148,0.0895964457608293
"a51",0.386097461748605,0.102770578797976
"a52",0.350087449281108,0.110761446377885
"a53",0.659894195699829,0.0522645933604838
"a54",0.499730677913025,0.0800937924225595
"a55",0.921070545866823,0.0117857583611008
"a56",0.884457601518997,-0.0172775515241269
"a57",0.670097989848452,0.0505985437492287
"a58",0.230167056445253,0.142015302974207
"a59",0.398092111311257,0.100209798839936
"a60",0.423640944828029,0.0949031223003826
"a61",0.936344722496248,-0.00950265333826977
"a62",0.87053024274942,0.0193755399234851
"a63",0.410898994747015,0.0975256077995804
"a64",0.838937932627551,0.0241577193631988
"a65",0.32853786257255,0.115790447982229
"a66",0.398092111311257,0.100209798839936
"a67",0.32853786257255,0.115790447982229
"a68",0.30205110129953,0.122269529803776
"a69",0.133379814682775,0.177249166975194
"a70",0.436146011047489,0.0923731951129211
"a71",0.457340746887613,0.0881772183142046
"a72",0.912825792022783,0.0130198691842527
"a73",0.467668111037436,0.0861717882265827
"a74",0.838125794351072,0.024281130445514
"a75",0.344452184865425,0.112057262742194
"a76",0.847068464417329,0.0229236085400469
"a77",0.45813065797501,0.0880229544613106
"a78",0.776959527237908,0.0336603727014686
"a80",0.941510411065767,0.00873133407379983
"a81",0.208288110470525,0.1488646180427
"a82",0.935725012785984,0.00959521165000617
"a83",0.325437975219797,-0.11653091447612
"a84",0.571204915598477,0.0672281870912008
"a85",0.482987987926794,-0.0832407750215969
"a86",0.429105366421836,-0.0937924225595458
"a87",0.376857453376377,-0.104776008885598
"a88",0.688194350397605,0.0476675305442429
"a89",0.438455961597197,-0.0919104035542392
"a90",0.240740582481701,0.13886832037517
"a91",0.363182675101224,-0.10779958040232
"a92",0.544605678600039,-0.0719178082191781
"a93",0.145838604119981,0.171819079353326
"a94",0.468627774526438,-0.08598667160311
"a95",0.346726227789756,-0.111532765642355
"a96",0.814852637817212,0.0278291990620758
"a97",0.321206301918463,-0.11754905590522
"a98",0.413280216456213,0.0970319634703196
"a99",0.90664823234902,0.0139454523016167
"a100",0.424397487471777,-0.0947488584474886
"a101",0.922101745501463,-0.0116314945082068
"a102",0.876465274791387,0.0184808095767
"a103",0.713243437711392,-0.0436566703689991
"a104",0.501222389438414,0.0798161174873504
"a105",0.421074515218123,-0.0954276194002221
"a106",0.437223127833563,-0.0921572257188695
"a107",0.20714926061176,0.149234851289646
"a108",0.891640091539165,0.0161977045538689
"a109",0.54477867466573,0.0718869554485993
"a110",0.539084029255508,-0.0729050968776996
"a111",0.678456821021952,-0.0492410218437616
"a112",0.414473836587025,-0.0967851413056892
"a113",0.17806243149424,0.159231148957176
"a114",0.284130830496362,0.126866592620017
"a115",0.0575087867729752,0.223497470072813
"a116",0.662156414423615,0.0518943601135382
"a117",0.361254393758422,-0.108231519190423
"a118",0.717513667253923,-0.0429779094162656
"a119",0.184252260256834,0.157009749475503
"a120",0.139716377972238,0.174441564852524
"a121",0.156822721383791,0.167314574848821
"a122",0.986634562474407,-0.00200543008762187
"a123",0.455920805334462,-0.0884548932494138
"a124",0.778752930295957,0.0333826977662594
"a125",0.602561717308309,0.0618289522399111
"a126",0.86909871038347,0.0195915093175367
"a127",0.35387607806302,-0.109897568801678
"a128",0.317390157716788,-0.118474639022584
