term,group1,group2,null_value,estimate,conf_low,conf_high,adj_p_value,significant,group1_cld,group2_cld,metric,block_start_row,block_start_col,header_type,z,p_unadj,p_adj
reporting_area,13,12,0,1.92423973,0.25657479,3.59190466,0.01234726,Yes,a,b,p450,1,0,term,NA,NA,NA
reporting_area,12,8.2,0,-1.977666,-3.8882162,-0.0671158,0.03696362,Yes,b,a,p450,1,0,term,NA,NA,NA
reporting_area,12,11,0,-1.6624386,-3.3231403,-0.0017368,0.04956026,Yes,b,a,p450,1,0,term,NA,NA,NA
site_number,29,20,0,-3.618678949,-6.296291386,-0.941066511,7.85e-5,Yes,c,a,p450,1,0,term,NA,NA,NA
site_number,59,29,0,3.30356849,0.625956053,5.981180928,8.78868e-4,Yes,ab,c,p450,1,0,term,NA,NA,NA
site_number,29,14,0,-3.078828126,-5.756440563,-0.401215688,0.004272716,Yes,c,ab,p450,1,0,term,NA,NA,NA
site_number,68,29,0,2.980321987,0.302709549,5.657934424,0.008189808,Yes,ab,c,p450,1,0,term,NA,NA,NA
site_number,29,7,0,-2.965725129,-5.643337567,-0.288112692,0.008997217,Yes,c,ab,p450,1,0,term,NA,NA,NA
site_number,35,20,0,-3.246972984,-6.180150449,-0.31379552,0.009093449,Yes,bc,a,p450,1,0,term,NA,NA,NA
site_number,65,29,0,2.87396901,0.196356572,5.551581447,0.016007629,Yes,ab,c,p450,1,0,term,NA,NA,NA
site_number,55,29,0,2.849631852,0.172019414,5.527244289,0.018567553,Yes,ab,c,p450,1,0,term,NA,NA,NA
site_number,29,21,0,-2.810114393,-5.487726831,-0.132501955,0.023526675,Yes,c,ab,p450,1,0,term,NA,NA,NA
site_number,49,29,0,2.631675417,0.119852302,5.143498532,0.02419557,Yes,ab,c,p450,1,0,term,NA,NA,NA
site_number,73,29,0,2.754686668,0.07707423,5.432299105,0.032497835,Yes,ab,c,p450,1,0,term,NA,NA,NA
site_number,69,29,0,2.738617943,0.061005505,5.41623038,0.035616083,Yes,ab,c,p450,1,0,term,NA,NA,NA
site_number,29,22,0,-2.721502856,-5.399115294,-0.043890419,0.039226759,Yes,c,ab,p450,1,0,term,NA,NA,NA
site_number,51,29,0,2.70616864,0.028556203,5.383781078,0.042732481,Yes,ab,c,p450,1,0,term,NA,NA,NA
site_number,31,20,0,-2.939466154,-5.872643619,-0.006288689,0.048457919,Yes,bc,a,p450,1,0,term,NA,NA,NA
,11,13,NA,NA,NA,NA,NA,Yes,a,b,total pah,1,12,group,4.25316302,0,8e-4
