"Comparison","Z","P.adjusted"
"10 - 11",0.412618653842597,1
"10 - 12",-1.3155269556257,1
"11 - 12",-1.50569010950639,1
"10 - 13",-0.131215684809893,1
"11 - 13",-0.50737194651869,1
"12 - 13",1.22093336581365,1
"10 - 6",-0.698527084434261,1
"11 - 6",-0.89576928148338,1
"12 - 6",0.463750444893352,1
"13 - 6",-0.616815912659706,1
"10 - 7",2.2348285777238,0.457714888718552
"11 - 7",1.82666397647735,1
"12 - 7",2.4950002976245,0.22672264413958
"13 - 7",2.21887791955519,0.476910559426243
"6 - 7",1.91309639460772,1
"10 - 8.1",-1.50455339913023,1
"11 - 8.1",-1.67649408219037,1
"12 - 8.1",-0.246015273100195,1
"13 - 8.1",-1.41771451858024,1
"6 - 8.1",-0.683243385583351,1
"7 - 8.1",-2.57993853280718,0.177872224405979
"10 - 8.2",1.80512389043099,1
"11 - 8.2",1.50975590692296,1
"12 - 8.2",2.31941116594552,0.366709550171968
"13 - 8.2",1.82927379425055,1
"6 - 8.2",1.79356758840979,1
"7 - 8.2",0.0889048736367254,1
"8.1 - 8.2",2.42748643282758,0.273669398846989
"10 - 9",0.155346543460868,1
"11 - 9",-0.148597825912149,1
"12 - 9",1.28305811477447,1
"13 - 9",0.24558391519181,1
"6 - 9",0.725699445413729,1
"7 - 9",-1.60920756565676,1
"8.1 - 9",1.46950548709319,1
"8.2 - 9",-1.42637084746752,1
