"Comparison","Z","P.adjusted"
"10 - 11",-1.94900077857037,0.923315971363413
"10 - 12",2.58019280750813,0.177741299205457
"11 - 12",3.39256749750627,0.0124633566849674
"10 - 13",-3.48109085943555,0.00898876910570522
"11 - 13",-1.46493744568838,1
"12 - 13",-4.06971145169192,0.000847285209535777
"10 - 6",-0.44192325007885,1
"11 - 6",0.770017191984189,1
"12 - 6",-2.51565572012462,0.213860121464821
"13 - 6",1.73619417827979,1
"10 - 7",-0.101305231588719,1
"11 - 7",1.50065889565076,1
"12 - 7",-2.51534730752386,0.214047315367564
"13 - 7",2.77132643536035,0.100491168142399
"6 - 7",0.336028998038132,1
"10 - 8.1",-0.410541975440298,1
"11 - 8.1",0.494120345208755,1
"12 - 8.1",-2.26275648040882,0.425712689975427
"13 - 8.1",1.22114503681354,1
"6 - 8.1",-0.0717864105541241,1
"7 - 8.1",-0.337834212301715,1
"10 - 8.2",-2.7705800415674,0.100721781600857
"11 - 8.2",-1.43247988566012,1
"12 - 8.2",-3.91513739921102,0.00162634930564879
"13 - 8.2",-0.407957878937404,1
"6 - 8.2",-1.75771629781404,1
"7 - 8.2",-2.44185092644571,0.263019222821855
"8.1 - 8.2",-1.34814875807273,1
"10 - 9",-0.392586338938792,1
"11 - 9",1.01800615957016,1
"12 - 9",-2.58487429925511,0.175346109075702
"13 - 9",2.13700853290509,0.586751356808583
"6 - 9",0.0918319681151013,1
"7 - 9",-0.270661273704998,1
"8.1 - 9",0.148740531864714,1
"8.2 - 9",2.03196414128965,0.75883115271992
