"statistic","alpha","dif.com.obs.dif","dif.com.critical.dif","dif.com.stat.signif"
"Multiple comparison test after Kruskal-Wallis",0.05,87.3178294573643,58.0823774784373,TRUE
"Multiple comparison test after Kruskal-Wallis",0.05,78.5503875968992,58.0823774784373,TRUE
"Multiple comparison test after Kruskal-Wallis",0.05,14.2246376811594,57.1744813411274,FALSE
"Multiple comparison test after Kruskal-Wallis",0.05,5.05833333333334,59.1092210996435,FALSE
"Multiple comparison test after Kruskal-Wallis",0.05,3.45614035087718,59.8722047273533,FALSE
"Multiple comparison test after Kruskal-Wallis",0.05,19.3666666666666,56.1153515123784,FALSE
"Multiple comparison test after Kruskal-Wallis",0.05,8.76744186046514,56.648023315644,FALSE
"Multiple comparison test after Kruskal-Wallis",0.05,101.542467138524,55.7167594952272,TRUE
"Multiple comparison test after Kruskal-Wallis",0.05,92.3761627906977,57.7003985344001,TRUE
"Multiple comparison test after Kruskal-Wallis",0.05,83.8616891064872,58.4817652857382,TRUE
"Multiple comparison test after Kruskal-Wallis",0.05,67.9511627906977,54.6293753156656,TRUE
"Multiple comparison test after Kruskal-Wallis",0.05,92.7750252780586,55.7167594952272,TRUE
"Multiple comparison test after Kruskal-Wallis",0.05,83.6087209302325,57.7003985344001,TRUE
"Multiple comparison test after Kruskal-Wallis",0.05,75.094247246022,58.4817652857382,TRUE
"Multiple comparison test after Kruskal-Wallis",0.05,59.1837209302326,54.6293753156656,TRUE
"Multiple comparison test after Kruskal-Wallis",0.05,9.16630434782607,56.7863956780834,FALSE
"Multiple comparison test after Kruskal-Wallis",0.05,17.6807780320366,57.5801668460193,FALSE
"Multiple comparison test after Kruskal-Wallis",0.05,33.5913043478261,53.6630915104516,FALSE
"Multiple comparison test after Kruskal-Wallis",0.05,8.51447368421051,59.5017169197246,FALSE
"Multiple comparison test after Kruskal-Wallis",0.05,24.425,55.7198895623342,FALSE
"Multiple comparison test after Kruskal-Wallis",0.05,15.9105263157895,56.5286385184208,FALSE
