"Comparison","Z","P.adjusted"
"1 - 2",-2.95843360842914,0.0432889576714151
"1 - 3",-2.31811958074599,0.2861995223194
"2 - 3",0.782845115655557,1
"1 - 4",-2.55886107203474,0.147021980188647
"2 - 4",0.242228719566483,1
"3 - 4",-0.478898401611682,1
"1 - 5",-1.04058887563322,1
"2 - 5",2.13996789919149,0.45300305489239
"3 - 5",1.41071620208975,1
"4 - 5",1.74400052700514,1
"1 - 6",-2.04147077275627,0.576856785428251
"2 - 6",0.815641405894792,1
"3 - 6",0.105134175136178,1
"4 - 6",0.537618764831561,1
"5 - 6",-1.1744611441785,1
"1 - 7",-0.524854665580113,1
"2 - 7",2.58457631580897,0.136498214683468
"3 - 7",1.89450499360922,0.814212170471966
"4 - 7",2.1762722392136,0.413488740782796
"5 - 7",0.532928051446908,1
"6 - 7",1.6274441194318,1
"1 - 8",-1.93536355118738,0.741239782857664
"2 - 8",0.996229937429412,1
"3 - 8",0.273460815449143,1
"4 - 8",0.6998982063197,1
"5 - 8",-1.04025553406522,1
"6 - 8",0.151833523971173,1
"7 - 8",-1.50766961919367,1
