method,metric,correlated_to,coefficient,estimate,n,p_value,p_adjusted,significant
kendall,ci,ibr_morph,tau,-0.20621991854868563,74,0.009339449228431529,0.009339449228431529,TRUE
kendall,ci,pah_hmw_index,tau,0.10181414291003331,74,0.1993686278626557,0.1993686278626557,FALSE
kendall,ci,total_pah_index,tau,0.100333209922251,74,0.20598409106950244,0.20598409106950244,FALSE
kendall,ci,pah_lmw_index,tau,0.08478341355053683,74,0.2852127243871377,0.2852127243871377,FALSE
kendall,ci,ddt_index,tau,0.08037310706093527,74,0.31326275834551975,0.31326275834551975,FALSE
kendall,ci,total_con_index,tau,0.07071455016660495,74,0.37274325360430816,0.37274325360430816,FALSE
kendall,ci,total_metal_index,tau,0.0699740836727138,74,0.3777697057046069,0.3777697057046069,FALSE
kendall,ci,pcb_index,tau,0.05886708626434653,74,0.4580806419772305,0.4580806419772305,FALSE
kendall,ci,hch_index,tau,0.06316314116975795,74,0.49353577891223505,0.49353577891223505,FALSE
kendall,ci,chlordane_index,tau,0.03977026322312162,74,0.6669566055755751,0.6669566055755751,FALSE
kendall,ci,ibr_bio,tau,0.02554609403924472,74,0.7474490624556258,0.7474490624556258,FALSE
kendall,ci,pbde_index,tau,0.019974462191329142,74,0.8134265685326871,0.8134265685326871,FALSE
kendall,ci,ibr_combined,tau,-0.015920029618659754,74,0.8409568892807446,0.8409568892807446,FALSE
kendall,ci,pah_add_index,tau,0.013335804985225052,74,0.8665760338199952,0.8665760338199952,FALSE
kendall,ci,pesticide_index,tau,0.0061125271552660955,74,0.946538997108725,0.946538997108725,FALSE
kendall,p450,ibr_combined,tau,0.3217326915957052,74,5.004992718949208e-5,5.004992718949208e-5,TRUE
kendall,p450,ibr_bio,tau,0.3143280266567937,74,7.43061742228592e-5,7.43061742228592e-5,TRUE
kendall,p450,chlordane_index,tau,0.13365416329081856,74,0.1481249354026738,0.1481249354026738,FALSE
kendall,p450,pcb_index,tau,-0.11292114031840057,74,0.15463340794550565,0.15463340794550565,FALSE
kendall,p450,ibr_morph,tau,0.1047760088855979,74,0.18660597385095054,0.18660597385095054,FALSE
kendall,p450,total_pah_index,tau,-0.055164753794890775,74,0.4868399426384796,0.4868399426384796,FALSE
kendall,p450,pah_lmw_index,tau,-0.05294335431321732,74,0.5045528938139123,0.5045528938139123,FALSE
kendall,p450,total_metal_index,tau,-0.05294335431321732,74,0.5045528938139123,0.5045528938139123,FALSE
kendall,p450,ddt_index,tau,0.05060528963095924,74,0.5254818028422594,0.5254818028422594,FALSE
kendall,p450,total_con_index,tau,-0.049241021843761563,74,0.5348128841135704,0.5348128841135704,FALSE
kendall,p450,pah_add_index,tau,0.026671609970450105,74,0.7368569766532164,0.7368569766532164,FALSE
kendall,p450,pbde_index,tau,0.02663261625510552,74,0.7530067944251175,0.7530067944251175,FALSE
kendall,p450,pesticide_index,tau,0.027228530055276246,74,0.7651739113872491,0.7651739113872491,FALSE
kendall,p450,hch_index,tau,-0.018948942350927388,74,0.8372527474003382,0.8372527474003382,FALSE
kendall,p450,pah_hmw_index,tau,0.015920029618659754,74,0.8409568892807446,0.8409568892807446,FALSE
kendall,shell,ibr_morph,tau,0.42095520177711954,74,1.1200842776096412e-7,1.1200842776096412e-7,TRUE
kendall,shell,pah_hmw_index,tau,0.1321732691595705,74,0.09570847390259235,0.09570847390259235,FALSE
kendall,shell,pesticide_index,tau,0.12502896453953377,74,0.17020300132551258,0.17020300132551258,FALSE
kendall,shell,ddt_index,tau,0.08558247511118107,74,0.2829308779364338,0.2829308779364338,FALSE
kendall,shell,chlordane_index,tau,0.08932009936996167,74,0.3338061657717834,0.3338061657717834,FALSE
kendall,shell,total_con_index,tau,0.0655312847093669,74,0.4087971153406021,0.4087971153406021,FALSE
kendall,shell,hch_index,tau,0.07453250658031439,74,0.4191243918226669,0.4191243918226669,FALSE
kendall,shell,ibr_combined,tau,0.06330988522769343,74,0.42486359513769306,0.42486359513769306,FALSE
kendall,shell,total_pah_index,tau,0.049241021843761563,74,0.5348128841135704,0.5348128841135704,FALSE
kendall,shell,pbde_index,tau,0.04577480918846261,74,0.5886100435899563,0.5886100435899563,FALSE
kendall,shell,total_metal_index,tau,-0.038874490929285445,74,0.6241287362130996,0.6241287362130996,FALSE
