method,metric,correlated_to,coefficient,estimate,n,p_value,p_adjusted,significant
spearman,ci,ibr_morph,rho,-0.30636060718252495,74,0.00793772670117106,0.00793772670117106,TRUE
spearman,p450,ibr_combined,rho,0.4438208071084783,74,7.471744548315573e-5,7.471744548315573e-5,TRUE
spearman,p450,ibr_bio,rho,0.44035542391706767,74,8.629594720638491e-5,8.629594720638491e-5,TRUE
spearman,shell,ibr_morph,rho,0.5825546094039243,74,5.177945909619122e-8,5.177945909619122e-8,TRUE
spearman,sod,ibr_bio,rho,-0.9199407626804886,74,5.3471252554431485e-31,5.3471252554431485e-31,TRUE
spearman,sod,ibr_combined,rho,-0.881584598296927,74,3.55127916336156e-25,3.55127916336156e-25,TRUE
spearman,sod,ddt_index,rho,0.2927613427727214,74,0.011364807112211668,0.011364807112211668,TRUE
spearman,sod,pesticide_index,rho,0.28760979357918,74,0.012964822563595489,0.012964822563595489,TRUE
spearman,sod,total_con_index,rho,0.2705812661977045,74,0.01971764958574674,0.01971764958574674,TRUE
spearman,sod,pcb_index,rho,0.22950018511662343,74,0.04918734485301881,0.04918734485301881,TRUE
