"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"10","13",2.67109931913179,0.0076,0.1361,"No","a","a"
"10","7",2.3560199975223,0.0185,0.1662,"No","a","a"
"10","8.2",2.82715072963351,0.0047,0.1691,"No","a","a"
"6","8.2",2.26276445086601,0.0237,0.1703,"No","a","a"
"12","6",-2.14785038148873,0.0317,0.1904,"No","a","a"
"10","12",2.40487718217147,0.0162,0.1941,"No","a","a"
"11","8.2",1.97488066153667,0.0483,0.2483,"No","a","a"
"13","6",-1.75062451679503,0.08,0.32,"No","a","a"
"6","7",1.68946568307684,0.0911,0.3281,"No","a","a"
"11","12",1.78516408512238,0.0742,0.3341,"No","a","a"
"12","9",-1.4806864733739,0.1387,0.4161,"No","a","a"
"8.2","9",-1.51275656747291,0.1303,0.4266,"No","a","a"
"6","9",1.06311345124131,0.2877,0.4708,"No","a","a"
"12","7",-1.06736770574803,0.2858,0.49,"No","a","a"
"12","8.1",-0.953230637699318,0.3405,0.4903,"No","a","a"
"11","6",-0.975384731977785,0.3294,0.4941,"No","a","a"
"7","8.2",1.00162953394043,0.3165,0.4954,"No","a","a"
"13","8.2",1.08379111207058,0.2785,0.5012,"No","a","a"
"11","13",1.33708290953221,0.1812,0.5018,"No","a","a"
"11","7",1.20820269564082,0.227,0.5107,"No","a","a"
"10","11",1.28531857751426,0.1987,0.5109,"No","a","a"
"6","8.1",1.10363853594282,0.2697,0.5111,"No","a","a"
"10","9",1.23595909280591,0.2165,0.5195,"No","a","a"
"12","13",-1.12040567666755,0.2625,0.5251,"No","a","a"
"10","8.1",1.122605228091,0.2616,0.554,"No","a","a"
"8.1","8.2",0.83223350846539,0.4053,0.5612,"No","a","a"
"13","9",-0.741937357511429,0.4581,0.6108,"No","a","a"
"7","9",-0.710707468024014,0.4773,0.6136,"No","a","a"
"11","8.1",0.518871221973286,0.6039,0.7496,"No","a","a"
"12","8.2",-0.26846242208561,0.7883,0.86,"No","a","a"
"10","6",-0.278375637202202,0.7807,0.8783,"No","a","a"
"8.1","9",-0.313222138598325,0.7541,0.9049,"No","a","a"
"11","9",0.279160351644896,0.7801,0.9059,"No","a","a"
"13","8.1",-0.140599928052399,0.8882,0.9136,"No","a","a"
"7","8.1",-0.152009023109627,0.8792,0.9309,"No","a","a"
"13","7",0.0293679652719852,0.9766,0.9766,"No","a","a"
